Congress,Commitee,Agency,Count
111,252,Department of Commerce,1
111,252,Executive Office of the President,1
111,-,Department of State,1
111,305,Centers for Disease Control and Prevention,1
111,305,Food and Drug Administration,3
111,305,Department of Agriculture,16
111,305,Office of Science and Technology,1
111,305,Environmental Protection Agency,2
111,305,Commodity Credit Corporation,2
111,305,Farm Credit Administration,2
111,305,Agricultural Research Service,1
111,306,United States Agency for International Development,2
111,306,Department of State,1
111,306,Department of Defense,5
111,306,Department of Health and Human Services,9
111,306,Department of Energy,2
111,308,Joint Chiefs of Staff,7
111,306,Department of Transportation,10
111,306,United States Coast Guard,1
111,306,National Institutes of Health,4
111,306,Centers for Disease Control and Prevention,2
111,306,Department of Agriculture,2
111,308,Department of the Air Force,5
111,306,United States Army Corps of Engineers,3
111,306,Department of Commerce,6
111,306,Department of Housing and Urban Development,1
111,306,Department of the Interior,2
111,306,Bureau of Land Management,1
111,306,Department of Labor,1
111,306,Federal Mine Safety and Health Review Commission,1
111,306,General Services Administration,1
111,306,Small Business Administration,1
111,338,Department of Justice,2
111,306,Department of the Treasury,1
111,306,National Railroad Passenger Corporation,1
111,338,Arms Control and International Security,2
111,308,Department of Defense,22
111,306,Bureau of Reclamation,1
111,338,Department of State,45
111,308,Department of Energy,7
111,306,Environmental Protection Agency,1
111,306,Bureau of Ocean Energy Management,1
111,308,United Nations,3
111,308,Department of the Army,2
111,308,Department of the Navy,2
111,308,Missile Defense Agency,2
111,308,Maritime Administration,1
111,308,Department of Health and Human Services,1
111,308,Department of Veterans Affairs,2
111,308,United States Coast Guard,2
111,308,National Nuclear Security Administration,1
111,308,Department of State,2
111,308,Arms Control and International Security,1
111,314,Securities and Exchange Commission,23
111,314,Securities Investor Protection Corporation,1
111,314,Department of the Treasury,12
111,314,Federal Reserve,18
111,314,Department of Housing and Urban Development,8
111,314,Department of Transportation,6
111,314,Office of Thrift Supervision,5
111,330,Department of Energy,26
111,314,Office of the Comptroller of the Currency,6
111,314,Federal Deposit Insurance Corporation,8
111,314,National Credit Union Administration,4
111,314,Environmental Protection Agency,1
111,314,Department of State,1
111,314,Department of Commerce,3
111,314,Federal Housing Finance Agency,1
111,314,Department of Veterans Affairs,1
111,338,Drug Enforcement Administration,1
111,338,Department of Defense,7
111,435314,Department of Housing and Urban Development,1
111,314344,Securities and Exchange Commission,1
111,321,Department of Transportation,30
111,321,Federal Trade Commission,14
111,321,Department of Commerce,25
111,321,National Transportation Safety Board,11
111,321,Federal Maritime Commission,4
111,321,Federal Aviation Administration,9
111,321,Federal Communications Commission,13
111,321,National Science Foundation,2
111,321,Executive Office of the President,10
111,321,Department of Homeland Security,17
110,113,Federal Reserve,32
111,321,Centers for Disease Control and Prevention,1
111,321,Consumer Product Safety Commission,6
111,321,Environmental Protection Agency,1
111,321,National Aeronautics and Space Administration,11
111,321,Federal Railroad Administration,1
110,102,Farm Credit Administration,1
111,321,Surface Transportation Board,2
111,321,Corporation for Public Broadcasting,1
111,321,Export-Import Bank of the United States,1
111,330,Department of Commerce,1
111,330,Federal Energy Regulatory Commission,6
111,321,Department of Health and Human Services,1
111,321,Rural Utilities Service,1
110,102,Department of Energy,2
111,321,United States Coast Guard,3
111,321,Council on Environmental Quality,1
111,321,Department of the Interior,3
111,321,Department of Agriculture,1
111,321,Department of Justice,2
111,321,National Highway Traffic Safety Administration,3
111,338,United States Institute of Peace,2
111,338,United States Agency for International Development,8
110,124,Department of Labor,14
111,330,Energy Information Administration,1
110,124,National Endowment for the Humanities,1
110,124,National Endowment for the Arts,1
111,330,Environmental Protection Agency,2
111,330,Department of the Interior,23
111,330,Department of Agriculture,12
111,330,Bureau of Reclamation,5
111,330,Bureau of Land Management,7
111,330,Nuclear Regulatory Commission,1
111,330,Council on Environmental Quality,1
111,330,Department of Defense,1
111,330,Minerals Management Service,1
111,330,Bureau of Ocean Energy Management,1
111,330,Department of Justice,2
111,330,United States Coast Guard,1
111,330,United States Geological Survey,1
111,332,Tennessee Valley Authority,5
111,332,Council on Environmental Quality,2
111,332,Environmental Protection Agency,44
111,332,United Nations,2
111,332,Centers for Disease Control and Prevention,2
111,332,Nuclear Regulatory Commission,14
111,332,Department of Transportation,12
111,332,Department of the Interior,7
111,332,General Services Administration,1
111,332,United States Fish and Wildlife Service,5
111,332,Economic Development Administration,2
111,332,Department of Commerce,2
111,332,United States Army Corps of Engineers,1
111,332,Department of Agriculture,4
111,332,Department of Energy,3
111,332,Administration and Resources Management,1
111,332,Animal and Plant Health Inspection Service,1
111,332,Federal Energy Regulatory Commission,1
111,332,Department of Defense,1
111,332,Department of Health and Human Services,2
111,332,Appalachian Regional Commission,1
111,332,Smithsonian Institution,1
111,332,National Oceanic and Atmospheric Administration,1
111,332,United States Coast Guard,1
110,104196,Social Security Administration,4
110,104196,Social Security Advisory Board,2
111,338,Central Intelligence Agency,3
111,338,Joint Chiefs of Staff,2
111,338,Broadcasting Board of Governors,3
111,338,Asian Development Bank,1
111,338,Department of the Treasury,1
111,338,European Bank for Reconstruction and Development,1
110,184,Small Business Administration,5
111,338,Smithsonian Institution,1
111,338,United Nations,1
110,164,Department of the Interior,59
110,164,Minerals Management Service,4
110,164,Internal Revenue Service,1
111,338,Department of Homeland Security,1
109,124,Department of Labor,3
111,344,Department of the Treasury,4
111,344,Department of Justice,10
111,344,United States Census Bureau,3
111,344,Department of Housing and Urban Development,4
111,344,Department of Homeland Security,62
111,344,General Services Administration,4
111,344,Council of the Inspectors General on Integrity and Efficiency,3
111,344,Department of Defense,26
111,344,United States Postal Service,8
111,344,Postal Regulatory Commission,4
111,344,Office of Management and Budget,22
111,344,Centers for Medicare and Medicaid Services,5
109,128,Centers for Disease Control and Prevention,4
109,128,Environmental Protection Agency,11
109,128,Department of the Army,1
111,344,Department of Commerce,5
111,344,Department of State,10
111,344,Department of Agriculture,2
111,344,Department of Health and Human Services,9
111,344,Office of Personnel Management,19
111,344,Office of the Director of National Intelligence,6
111,344,Small Business Administration,2
111,344,Department of Education,4
111,344,Federal Reserve,2
111,344,Office of the Chief Financial Officer,1
111,344,Department of the Army,2
111,344,Department of Energy,3
111,344,National Aeronautics and Space Administration,2
111,419344,Office of Personnel Management,1
111,344,National Archives and Records Administration,2
111,344,Merit Systems Protection Board,2
110,156,Bureau of Indian Affairs,1
111,344,Administration for Children and Families,1
111,344,Department of the Interior,1
109,128,Federal Communications Commission,13
109,128,Department of Energy,11
111,344,Social Security Administration,4
111,344,Federal Deposit Insurance Corporation,6
111,344,Office of Thrift Supervision,3
111,344,Institute of Education Sciences,1
111,344,Executive Office of the President,1
111,344,United States Coast Guard,2
111,344,Council on Environmental Quality,1
111,344,United States Agency for International Development,3
111,344,Federal Labor Relations Authority,2
111,344,Centers for Disease Control and Prevention,1
111,344,United States Army Corps of Engineers,2
111,344,Bureau of International Narcotics and Law Enforcement Affairs,1
111,344,Defense Contract Audit Agency,1
111,344,Special Inspector General for Afghanistan Reconstruction,1
109,128,Energy Information Administration,4
111,344,Federal Emergency Management Agency,1
109,128,Department of Health and Human Services,11
109,128,Drug Enforcement Administration,1
111,344,Environmental Protection Agency,1
111,435,Department of the Interior,13
111,344,Federal Retirement Thrift Investment Board,2
111,344,Special Panel on Appeals,1
111,344,Library of Congress,2
111,344,Recovery Accountability and Transparency Board,1
109,128,Federal Energy Regulatory Commission,3
111,435,Department of Health and Human Services,8
111,435,Institute of American Indian Arts,1
111,435,Indian Health Service,5
111,435,Department of Justice,4
111,435,Bureau of Indian Affairs,4
111,435,Internal Revenue Service,1
111,435,Office of National Drug Control Policy,1
111,435,Department of Homeland Security,1
111,435,Department of Education,2
111,435,National Indian Gaming Commission,2
111,435,Federal Highway Administration,1
111,435,Department of Transportation,3
111,358,Department of Justice,33
111,358,Federal Bureau of Investigation,5
111,358,Bureau of Consular Affairs,3
111,358,United States Citizenship and Immigration Services,3
111,358,Federal Trade Commission,2
111,358,Department of Agriculture,1
111,358,United States Customs and Border Protection,1
111,358,United States Immigration and Customs Enforcement,1
111,358,Federal Reserve,1
111,358,Department of Defense,2
111,358,Department of Homeland Security,8
109,128,National Institutes of Health,6
111,358,Commission on Civil Rights,1
111,358,Drug Enforcement Administration,1
111,358,National Archives and Records Administration,1
111,358,United States Sentencing Commission,1
111,358,Library of Congress,1
111,358,Food and Drug Administration,1
111,358,Civil Rights Division,4
111,358,Department of State,6
111,358,Securities and Exchange Commission,2
111,358,Office of Management and Budget,2
109,128,Federal Trade Commission,4
111,358,Department of Commerce,2
111,358,Department of Health and Human Services,1
111,358,Bureau of Prisons,1
111,358,Bureau of International Narcotics and Law Enforcement Affairs,1
111,384,Small Business Administration,21
111,384,Export-Import Bank of the United States,1
111,384,Department of Commerce,4
111,384,Department of Labor,1
111,384,Department of Agriculture,2
111,384,Department of Transportation,2
111,384,Department of Defense,2
111,384,National Institutes of Health,1
111,316,Department of the Treasury,2
111,384,Environmental Protection Agency,1
111,384,United States Coast Guard,2
111,384,Federal Emergency Management Agency,1
111,384,Department of Housing and Urban Development,1
111,384,General Services Administration,1
111,384,Federal Communications Commission,1
111,388,Department of Veterans Affairs,49
111,388,Department of Labor,5
111,388,Department of Defense,5
111,388,Department of Health and Human Services,2
111,388,Veterans Health Administration,1
111,388,Department of Housing and Urban Development,1
111,388,Public Health Service,1
111,388,National Institutes of Health,1
111,316,Department of Energy,1
111,-,Department of Labor,1
111,-,Federal Reserve,2
111,-,Department of Agriculture,1
111,-,Department of the Treasury,8
111,507,Federal Reserve,4
111,507,Bureau of Labor Statistics,13
111,507,International Monetary Fund,1
111,507,Department of the Treasury,2
111,507,Bureau of Economic Analysis,1
111,507,Department of Commerce,1
111,432,Federal Bureau of Investigation,1
111,432,Central Intelligence Agency,1
111,419,Department of Justice,3
111,419,Department of Health and Human Services,5
111,419,Pension Benefit Guaranty Corporation,3
111,419,Centers for Disease Control and Prevention,1
111,419,Federal Emergency Management Agency,1
111,419,Office of the Comptroller of the Currency,1
111,419,Securities and Exchange Commission,1
111,419,Department of Labor,2
111,419,Federal Communications Commission,1
111,419,Office of National Drug Control Policy,1
111,419,Health Resources and Services Administration,1
111,419,Administration on Aging,2
110,102,Agricultural Research Service,1
110,102,Agricultural Marketing Service,2
110,102,Food and Drug Administration,2
110,102,United States Agency for International Development,2
110,102104,Department of Agriculture,1
110,102104,Department of Health and Human Services,1
110,102,Department of Health and Human Services,2
110,102,Federal Energy Regulatory Commission,1
110,102,Animal and Plant Health Inspection Service,1
110,102,Federal Reserve,1
110,104251,Department of Homeland Security,3
110,104251,Department of Labor,1
110,104251,Department of Transportation,1
110,104182,Environmental Protection Agency,2
110,104251,Federal Emergency Management Agency,1
110,104251,Department of Health and Human Services,1
110,104196,Federal Trade Commission,1
110,104192,Department of Veterans Affairs,4
110,104113,Department of Housing and Urban Development,1
110,104113,Federal Housing Administration,1
110,104,Small Business Administration,1
110,104192,Library of Congress,2
110,104192,Veterans Benefits Administration,1
110,104192,Department of Labor,1
110,104156,Department of Justice,2
110,104196,Internal Revenue Service,2
110,104196,Alcohol and Tobacco Tax and Trade Bureau,1
110,104251,Transportation Security Administration,1
110,104156,National Institutes of Health,1
110,106,Joint Chiefs of Staff,3
110,106,Broadcasting Board of Governors,1
110,106,Department of Defense,33
110,106,Department of Energy,6
110,106,Department of State,8
110,106,United Nations,2
110,106,Defense Commissary Agency,2
110,106,Department of Transportation,1
110,106,National Nuclear Security Administration,4
110,106,Defense Advanced Research Projects Agency,2
110,106,National Guard Bureau,2
110,106,Department of the Army,3
110,106,Department of the Air Force,1
110,106,Department of the Navy,2
110,106,Missile Defense Agency,2
110,106,United States Institute of Peace,3
110,106,Department of Justice,3
110,106,General Services Administration,1
110,106242,Office of the Director of National Intelligence,1
110,106,Department of Labor,1
110,106,Department of Agriculture,1
110,106,United States Agency for International Development,1
110,106,Office of Personnel Management,1
110,106,National Science Foundation,1
110,124,Commission on Civil Rights,2
110,124,National Institute for Literacy,1
110,124,Department of Energy,1
110,124,Department of Justice,1
110,124,Department of Agriculture,3
110,124,Department of Homeland Security,1
110,124,Bureau of Labor Statistics,1
110,124,Department of the Interior,1
110,128,National Nuclear Security Administration,3
110,128,Environmental Protection Agency,22
110,128,Equal Employment Opportunity Commission,1
110,128,Federal Trade Commission,6
110,128,Centers for Medicare and Medicaid Services,7
110,128,Department of Commerce,6
110,164,Department of Agriculture,18
110,128,Department of Justice,1
110,128,Office of Research and Development,1
110,128,Centers for Disease Control and Prevention,5
110,128,Department of Defense,2
110,128,Federal Energy Regulatory Commission,3
110,196128,Office of the United States Trade Representative,1
110,196128,Department of Commerce,1
110,128,Consumer Product Safety Commission,6
110,128,Department of Labor,1
110,128,Chemical Safety and Hazard Investigation Board,1
110,128,Department of Transportation,3
110,128,Energy Information Administration,1
110,128,National Institutes of Health,5
110,128,Indian Health Service,1
110,128,Department of Veterans Affairs,1
110,128,Department of Homeland Security,4
110,128,Health Resources and Services Administration,1
110,128,Council on Environmental Quality,1
110,128,United States Geological Survey,1
110,164,Office of Surface Mining Reclamation and Enforcement,1
110,164,Forest Service,2
110,164,United States Geological Survey,2
110,164,Bureau of Land Management,13
110,128,Department of Agriculture,4
110,128,United States Coast Guard,1
110,128,General Accounting Office,1
110,128,Nuclear Regulatory Commission,2
110,128,Agency for Healthcare Research and Quality,1
110,128,Federal Reserve,1
110,156,Department of the Interior,1
110,113,Department of Housing and Urban Development,37
110,113,Federal Emergency Management Agency,5
110,113,Department of the Treasury,21
110,113,Department of Homeland Security,3
110,113,Office of Federal Housing Enterprise Oversight,2
110,113,Office of Thrift Supervision,13
110,113,Federal Deposit Insurance Corporation,18
110,113,National Credit Union Administration,8
110,113,Office of the Comptroller of the Currency,13
110,113,Securities and Exchange Commission,9
110,113,Department of Agriculture,2
110,113,Department of Justice,1
110,113,Financial Crimes Enforcement Network,1
110,113,Federal Trade Commission,5
110,113,Civil Rights Division,1
110,113,Department of Veterans Affairs,2
110,113,Department of State,1
110,113,National Archives and Records Administration,1
110,113,Equal Employment Opportunity Commission,1
110,113,United States Agency for International Development,1
110,113,United Nations,1
110,113,Department of Commerce,1
110,113,Federal Housing Finance Agency,1
110,156,United States Sentencing Commission,2
110,164,Bureau of Reclamation,6
110,164,Department of Labor,2
110,164,National Park Service,3
109,173,Department of Transportation,36
110,134156,Department of Homeland Security,1
109,173,Department of Homeland Security,11
110,251,Federal Energy Regulatory Commission,3
110,251,Department of Transportation,3
110,251,Department of Homeland Security,132
109,173,United States Coast Guard,18
110,251,National Archives and Records Administration,1
109,173,National Transportation Safety Board,7
109,173,Federal Railroad Administration,8
110,251,Transportation Security Administration,5
110,251,Federal Emergency Management Agency,5
110,251,Department of Commerce,2
109,173,Federal Aviation Administration,11
110,251,Department of Health and Human Services,5
110,251,Department of State,5
110,251,National Guard Bureau,2
110,251,United States Coast Guard,5
110,251,General Services Administration,2
110,251,Department of Education,1
110,251,Department of Agriculture,2
110,251,Animal and Plant Health Inspection Service,1
110,251,Centers for Disease Control and Prevention,3
110,251,Federal Bureau of Investigation,2
110,251,National Council on Disability,1
110,251,United States Customs and Border Protection,4
110,251,Food and Drug Administration,1
109,173,Department of Commerce,4
110,251,Secret Service,1
110,251,Bureau of Diplomatic Security,1
110,251,Department of Defense,2
110,251,Department of Energy,1
110,251,Department of Justice,3
110,251,Federal Aviation Administration,1
110,251,Department of Housing and Urban Development,1
110,251,Office of Management and Budget,1
109,173,General Services Administration,5
110,251,Office of the Director of National Intelligence,1
110,251,Federal Communications Commission,2
109,173,Pension Benefit Guaranty Corporation,1
110,251,Tennessee Valley Authority,1
110,251,Bureau of International Narcotics and Law Enforcement Affairs,1
110,251,Bureau of Consular Affairs,1
109,173,United States Customs and Border Protection,1
109,173,Federal Communications Commission,1
110,164,Animal and Plant Health Inspection Service,1
110,164,Department of Commerce,11
110,164,Bureau of Indian Affairs,3
110,164,Assistant Secretary for Land and Minerals Management,1
110,164,Federal Energy Regulatory Commission,1
110,164,Small Business Administration,2
110,164,Environmental Protection Agency,1
110,164,Department of Justice,1
109,173,Environmental Protection Agency,11
109,173,Forest Service,1
110,164,Department of State,1
110,164,Indian Health Service,1
110,164,National Indian Gaming Commission,1
110,164,Department of Energy,3
110,164,United States Fish and Wildlife Service,1
110,164,Department of Homeland Security,1
109,173,Federal Emergency Management Agency,2
110,164,National Capital Planning Commission,1
109,113,Office of Federal Housing Enterprise Oversight,3
109,113,Department of Housing and Urban Development,11
109,113,Federal National Mortgage Associationiation,1
110,164,Centers for Disease Control and Prevention,1
110,138,Department of the Army,2
110,138,Department of Homeland Security,14
110,138,United States Coast Guard,1
109,113,Securities and Exchange Commission,9
110,138,Department of Health and Human Services,11
110,138,Department of Justice,6
110,138,Defense Contract Audit Agency,1
110,138,Office of Management and Budget,9
110,138,National Archives and Records Administration,7
110,138,Centers for Disease Control and Prevention,5
109,113,Department of State,3
110,138,Library of Congress,4
110,138,Executive Office of the President,4
110,138,Central Intelligence Agency,2
110,138,Council on Environmental Quality,2
110,138,National Aeronautics and Space Administration,1
110,138,Department of Energy,6
110,138,National Science Foundation,2
109,173,United States Army Corps of Engineers,9
110,138,Food and Drug Administration,9
110,138,General Services Administration,12
110,138,Internal Revenue Service,3
110,138,United States Postal Service,13
110,138,Department of Defense,20
110,138,Election Assistance Commission,2
110,138,Environmental Protection Agency,10
110,138,United States Census Bureau,4
110,138,Department of Agriculture,5
110,138,United States Patent and Trademark Office,3
110,138,Social Security Administration,1
110,138,Office of Personnel Management,11
110,138,Equal Employment Opportunity Commission,1
110,138,"Bureau of Alcohol, Tobacco, Firearms and Explosives",1
110,138,Federal Reserve,4
110,138,Department of State,12
110,138,Department of Veterans Affairs,3
109,173,Transportation Security Administration,3
110,138,United Nations,1
109,173,Department of State,1
110,138,Department of Transportation,2
109,173,Department of Energy,1
110,138,Department of Labor,6
110,138,Securities and Exchange Commission,3
110,138,Office of Special Counsel,3
110,138,Federal Emergency Management Agency,3
110,138,Federal Trade Commission,1
109,173,Department of the Interior,2
110,138,Postal Regulatory Commission,2
110,138,National Guard Bureau,1
110,138,Federal Retirement Thrift Investment Board,3
109,173,Natural Resources Conservation Service,2
110,138,Small Business Administration,2
109,173,Federal Maritime Commission,2
110,138,Bureau of Diplomatic Security,2
109,173,Federal Motor Carrier Safety Administration,1
110,138,Bureau of Prisons,2
110,138,Court Services and Offender Supervision Agency,2
110,138,Department of Commerce,3
110,138,Government Printing Office,4
110,138,Nuclear Regulatory Commission,1
110,138,Indian Health Service,1
110,138,Bureau of Indian Affairs,1
110,138,Federal Deposit Insurance Corporation,1
110,138,Office of Thrift Supervision,1
110,138,Office of the Comptroller of the Currency,1
109,173,Tennessee Valley Authority,2
109,173,Solid Waste and Emergency Response,1
110,138,Bureau of Land Management,1
110,138,Centers for Medicare and Medicaid Services,2
110,138,Agency for Healthcare Research and Quality,1
110,138,Joint Chiefs of Staff,1
110,138,Transportation Security Administration,1
110,138,Peace Corps,1
109,173,Federal Transit Administration,2
109,173,Department of Defense,2
110,138,National Institutes of Health,2
110,138,Office of the Director of National Intelligence,1
110,138,United States Parole Commission,1
110,138,Office of National Drug Control Policy,1
110,138,Animal and Plant Health Inspection Service,1
110,138,Food Safety and Inspection Service,1
110,138,Administration for Children and Families,1
110,138,Missile Defense Agency,1
109,173,Railroad Retirement Board,1
110,138,Department of the Interior,1
110,138,Department of Housing and Urban Development,1
110,138,National Council on Disability,1
109,173,Administration and Resources Management,1
110,138,Bureau of International Narcotics and Law Enforcement Affairs,1
110,138,United States Agency for International Development,1
109,173,Surface Transportation Board,1
110,138,Defense Contract Management Agency,3
110,138,Forest Service,1
110,138,Defense Finance and Accounting Service,1
110,138,Merit Systems Protection Board,1
110,138,Federal Communications Commission,1
110,182,Department of Energy,14
110,182,National Aeronautics and Space Administration,25
110,182,Department of the Interior,1
110,182,Department of Commerce,8
110,182,Office of Management and Budget,1
110,182,Office of Science and Technology,3
110,182,Department of Homeland Security,17
110,182,National Science Foundation,7
110,182,Federal Aviation Administration,5
110,182,National Oceanic and Atmospheric Administration,2
110,182,Department of Transportation,6
110,182,Environmental Protection Agency,4
110,182,Executive Office of the President,1
110,182,Defense Contract Management Agency,1
109,173,Appalachian Regional Commission,2
110,182,Department of Education,1
110,182,United States Geological Survey,1
110,182,Centers for Disease Control and Prevention,4
110,182,National Transportation Safety Board,1
110,182,Bureau of Consular Affairs,1
110,182,Federal Emergency Management Agency,1
110,182,Department of State,2
110,182,Department of Agriculture,1
110,182,Nuclear Regulatory Commission,3
110,182,Agricultural Research Service,1
110,184,Office of Management and Budget,1
110,184,Department of Education,1
110,184,Department of Energy,1
110,184,National Aeronautics and Space Administration,1
110,184,Federal Trade Commission,1
110,184,United States Patent and Trademark Office,1
110,173,Federal Railroad Administration,5
110,184,Internal Revenue Service,2
110,173,United States Army Corps of Engineers,8
110,173,Tennessee Valley Authority,1
110,173,Department of Agriculture,5
110,184,Department of the Treasury,1
110,184,Environmental Protection Agency,1
110,173,"Bureau of Alcohol, Tobacco, Firearms and Explosives",1
110,173,Federal Bureau of Investigation,2
110,173,Federal Energy Regulatory Commission,2
110,173,Federal Transit Administration,2
110,173,Department of the Army,3
110,173,Department of Defense,1
110,173,Department of Health and Human Services,1
110,173,Transportation Security Administration,2
110,173,Department of Commerce,3
110,173,Department of the Interior,3
110,173,Federal Maritime Commission,4
110,173,Department of Justice,2
110,173,National Institute of Building Sciences,1
110,173,National Railroad Passenger Corporation,1
110,192,Department of Veterans Affairs,87
110,192,Veterans Health Administration,13
110,192,Department of Labor,10
110,192,Department of Defense,20
110,192,Department of Education,2
110,192,Department of Health and Human Services,3
110,192,Veterans Benefits Administration,6
110,192,Department of the Interior,1
110,192,American Battle Monuments Commission,1
110,192,Office of Management and Budget,1
110,192,Small Business Administration,1
110,192,Department of Agriculture,1
110,192,Merit Systems Protection Board,1
110,192,Office of Personnel Management,1
109,113134,Department of the Treasury,1
109,113134,Department of State,1
110,192,Department of the Army,2
110,192,Department of the Navy,1
110,192,Department of the Air Force,1
110,192,Office of Special Counsel,1
110,196,Social Security Advisory Board,1
110,196,Social Security Administration,9
110,196,Department of the Treasury,7
110,196,Internal Revenue Service,8
110,192,National Guard Bureau,1
110,192,Library of Congress,1
110,196,Centers for Medicare and Medicaid Services,15
110,196,Department of Health and Human Services,6
110,196,Office of the United States Trade Representative,4
110,196,National Institutes of Health,1
110,196,Department of Commerce,2
110,196,Office of Personnel Management,1
109,113,Federal Retirement Thrift Investment Board,1
110,196,Agency for Healthcare Research and Quality,1
110,196,Department of Labor,4
110,196,Food and Drug Administration,1
110,196,Department of Homeland Security,2
110,196,Department of Agriculture,1
110,196,Consumer Product Safety Commission,1
110,196,Securities and Exchange Commission,1
110,156,Office of Management and Budget,3
110,196,Office of Management and Budget,1
109,173,National Science Foundation,1
110,196,Federal Deposit Insurance Corporation,1
110,156,Department of Justice,52
110,196,Pension Benefit Guaranty Corporation,1
110,115,Office of Management and Budget,2
110,115,Department of the Treasury,3
110,115,Department of Health and Human Services,2
110,115,Department of Agriculture,1
110,115,Internal Revenue Service,2
110,115,Federal Reserve,2
110,115,Department of Veterans Affairs,1
110,115,Joint Chiefs of Staff,1
110,115,Department of Labor,1
110,115,Department of State,2
110,115,Department of Homeland Security,1
110,115,Department of Energy,1
110,115,Department of Justice,1
110,115,Department of Transportation,1
110,156,Library of Congress,4
110,115,United Nations,1
110,156,Department of Homeland Security,16
110,156,Federal Trade Commission,4
110,156,Federal Bureau of Investigation,9
110,156,Civil Rights Division,7
110,156,Commission on Civil Rights,1
110,156,Immigration and Naturalization Services,2
110,156,Department of Labor,2
110,156,Department of Commerce,2
110,156,Department of Defense,1
110,156,Bureau of Prisons,2
110,156,Department of State,2
110,156,Privacy and Civil Liberties Oversight Board,1
110,156,United States Immigration and Customs Enforcement,3
110,156,United States Citizenship and Immigration Services,2
110,156,Office of the United States Trade Representative,1
110,156,Department of the Treasury,1
110,156,Department of Housing and Urban Development,2
110,242,Department of Energy,1
110,507,Office of Personnel Management,1
110,-,National Labor Relations Board,2
110,-,Office of Personnel Management,1
110,-,United States Postal Service,2
110,-,Postal Regulatory Commission,1
110,-,Department of Homeland Security,2
110,-,Department of Veterans Affairs,1
110,305,Department of Agriculture,6
110,305,United States Agency for International Development,1
110,305306,Commodities Futures Trading Commission,1
110,305,Farm Credit Administration,1
110,305344,Department of Agriculture,3
110,306,Department of Education,1
110,306,Department of Health and Human Services,9
110,306358,Department of Education,1
110,306388,Department of Veterans Affairs,1
110,306330,Department of Energy,3
110,306,Department of Agriculture,6
110,306,United States Agency for International Development,1
110,306,Food and Drug Administration,3
110,306,Department of Transportation,10
110,306,National Transportation Safety Board,1
110,314,Securities and Exchange Commission,25
110,314,Government National Mortgage Associationiation,1
110,314,National Credit Union Administration,1
110,306,Department of Energy,5
110,306,Department of the Interior,6
110,306,Consumer Product Safety Commission,3
110,306,Federal Emergency Management Agency,1
110,306,Department of Homeland Security,2
110,306321,Department of Commerce,1
110,306,Department of Defense,5
110,306,Joint Chiefs of Staff,1
110,306,Department of State,1
110,306,Centers for Disease Control and Prevention,3
110,306330,Department of the Interior,2
110,306330,Department of Transportation,1
110,306330,Environmental Protection Agency,1
110,306330,Federal Energy Regulatory Commission,1
110,306330,Department of Labor,1
110,306,National Labor Relations Board,2
110,306,Department of Labor,2
110,435306,Bureau of Indian Affairs,1
110,306,Department of Housing and Urban Development,2
110,306330,Assistant Secretary for Land and Minerals Management,1
110,306,Office of Management and Budget,1
110,306,Agricultural Marketing Service,1
110,308,Department of Defense,29
110,306338338,United States Agency for International Development,1
110,306338338,Trade and Development Agency,1
110,306338338,United Nations,3
110,306338338,Overseas Private Investment Corporation,1
110,306338338,European Bank for Reconstruction and Development,1
110,306,Department of Veterans Affairs,1
110,306,Department of the Treasury,1
110,306,Federal Deposit Insurance Corporation,1
110,306,Federal Energy Regulatory Commission,1
110,306,Forest Service,1
110,306321,Department of Transportation,2
110,308,United Nations,2
110,308,Department of the Navy,5
110,308,Department of the Air Force,5
110,308,Department of Energy,6
110,308,Missile Defense Agency,2
109,124,Department of Education,16
110,308,Defense Contract Management Agency,1
110,308,Department of the Army,1
110,308388,Department of Defense,2
110,308388,Department of Veterans Affairs,1
110,308,Department of State,3
110,308,Joint Chiefs of Staff,3
109,124,Department of Health and Human Services,3
110,314,Federal Reserve,19
110,314,Department of the Treasury,11
110,314,Bureau of Industry and Security,1
110,314,Department of State,3
110,314,Federal Deposit Insurance Corporation,7
110,314,Office of the Comptroller of the Currency,2
110,314,Office of Thrift Supervision,6
110,314,Department of Housing and Urban Development,7
110,314,Securities Investor Protection Corporation,3
110,321,National Highway Traffic Safety Administration,5
110,314,Department of Homeland Security,1
110,321,National Aeronautics and Space Administration,6
110,314,Federal Home Loan Mortgage Corporation,1
110,314,Office of Federal Housing Enterprise Oversight,1
110,314,Federal National Mortgage Associationiation,1
110,321,Department of Health and Human Services,3
110,321,Centers for Disease Control and Prevention,1
110,321,Federal Trade Commission,12
110,314,Federal Housing Finance Agency,2
110,321,Department of Transportation,30
110,321,Animal and Plant Health Inspection Service,1
110,321,Department of Agriculture,1
110,321,Department of Homeland Security,13
110,321,Government Printing Office,1
110,321,United States Postal Service,2
110,321,Federal Communications Commission,18
110,321,Department of Commerce,27
110,321,Surface Transportation Board,2
110,321,Federal Motor Carrier Safety Administration,3
110,321,Transportation Security Administration,2
110,321,Pipeline and Hazardous Materials Safety Administration,2
110,321,Federal Railroad Administration,2
110,321,National Oceanic and Atmospheric Administration,2
110,321,Department of Labor,1
110,321,United States Coast Guard,3
110,321,Department of State,3
110,321,Federal Aviation Administration,2
110,321,Department of Education,1
110,321,National Science Foundation,2
110,321,Office of Science and Technology,1
110,321,Federal Maritime Commission,2
