Lauren's Agency Code,Agency,Clinton Lewis Name,Chen Johnson Name,Bonica Chen Johnson Name,Bonica Chen Johnson Name 2,Bonica Chen Johnson Name 3,Richardson et al Name,Parent Agency,UA Code,Parent UA Code,acronym,synonym1,synonym2
208,Office of Personnel Management,Office of Personnel Management,office of personnel management,OFFICE OF PERSONNEL MANAGEMENT,Office of Personnel Management,,Office of Personnel Management,Office of Personnel Management,3206,3206,OPM,,
209,Office of Postsecondary Education,,,,,,Office of Postsecondary Education,Department of Education,1840,1800,OPE,,
210,Office of Science,,,,,,Office of Science,Department of Energy,,,,,
211,Office of Science and Technology,Office of Science and Technology Policy,,,,,Office of Science and Technology Policy,Executive Office of the President,349,300,OSTP,,
212,Office of Special Counsel,Office of Special Counsel,,OFFICE OF SPECIAL COUNSEL,Office of Special Counsel,,Office of Special Counsel,Office of Special Counsel,3255,3255,OSC,,
213,Office of the Comptroller of the Currency,,,,,,Office of the Comptroller of the Currency,Department of the Treasury,1557,1500,OCC,Comptroller of the Currency,
214,Office of the Director of National Intelligence,,,Office of the Director of National Intelligence,,,Office of the Director of National Intelligence,Office of the Director of National Intelligence,,,ODNI,Director of National Intelligence,
215,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,,,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,,,,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,,,,Alaska Natural Gas Transportation Projects,
216,Office of the President,,office of the president,,,,,Executive Office of the President,,,,,
217,Office of the Secretary of Defense,,,,,,Office of the Secretary of Defense,Department of Defense,790,700,,Secretary of Defense,
218,Office of the United States Trade Representative,Office of the U.S. Trade Representative,,,,,Office of the United States Trade Representative,Executive Office of the President,350,300,USTR,Office of the Trade Representative,
219,Overseas Private Investment Corporation,Overseas Private Investment Corporation,,OVERSEAS PRIVATE INVESTMENT CORPORATION,,,Overseas Private Investment Corporation,Overseas Private Investment Corporation,3420,3420,OPIC,,
220,Panama Canal Commission,,panama canal commission,,,,,Panama Canal Commission,3207,3207,,,
221,Peace Corps,Peace Corps,peace corps,Peace Corps,,,Peace Corps,Peace Corps,420,420,,,
222,Pennsylvania Avenue Development Corporation,Pennsylvania Avenue Development Corporation,,,,,,Pennsylvania Avenue Development Corporation,3208,3208,PADC,,
223,Pension Benefit Guaranty Corporation,Pension Benefit Guarantee Corporation,pension benefit guaranty corporation,PENSION BENEFIT GUARANTY CORPORATION,Pension Benefit Guaranty Corporation,,,Pension Benefit Guaranty Corporation,1212,1212,PBGC,,
224,Political Affairs,,,,,,Political Affairs,Department of State,,,,,
225,Postal Regulatory Commission,,postal rate commission,,,,,Postal Regulatory Commission,3211,3211,PRC,Postal Rate Commission,
226,President's Commission on White House Fellowships,,,PRESIDENT'S COMMISSION ON WHITE HOUSE FELLOWSHIPS,,,,President's Commission on White House Fellowships,,,,Commission on White House Fellowships,
227,Presidio Trust,,,,,,,Presidio Trust,3212,,,,
228,Privacy and Civil Liberties Oversight Board,,,Privacy and Civil Liberties Oversight Board,,,,Privacy and Civil Liberties Oversight Board,311,311,PCLOB,Privacy and Civil Liberties Oversight,
229,Public Diplomacy and Public Affairs,,,,,,Public Diplomacy and Public Affairs,Department of State,,,,,
230,Railroad Retirement Board,Railroad Retirement Board,railroad retirement board,Railroad Retirement Board,,,,Railroad Retirement Board,3220,3220,RRB,,
231,Recovery Accountability and Transparency Board,,,,,,,Recovery Accountability and Transparency Board,430,,,,
232,Rural Housing Service,,,,,,Rural Housing Service,Department of Agriculture,575,500,RHS,,
233,Saint Lawrence Seaway Development Corporation,,,Saint Lawrence Seaway Development Corporation,,,,Department of Transportation,2135,2100,SLSDC,,
234,Secret Service,,,,,,Secret Service,Department of Homeland Security,1620,1600,,,
235,Securities and Exchange Commission,Securities and Exchange Commission,securities and exchange commission,SECURITIES AND EXCHANGE COMMISSION,Securities and Exchange Commission,,Securities and Exchange Commission,Securities and Exchange Commission,3235,3235,SEC,,
236,Securities Investor Protection Corporation,,,Securities Investor Protection Corporation,,,,Securities Investor Protection Corporation,,,SIPC,,
237,Selective Service System,,selective service system,SELECTIVE SERVICE SYSTEM,Selective Service System,,,Selective Service System,3240,3240,,,
238,Small Business Administration,Small Business Administration,small business administration,SMALL BUSINESS ADMINISTRATION,Small Business Administration,,Small Business Administration,Small Business Administration,3245,3245,SBA,,
239,Smithsonian Institution,,smithsonian institution,,,,,Smithsonian Institution,3250,3250,,Smithsonian,
240,Social Security Administration,Social Security Administration,social security administration,SOCIAL SECURITY ADMINISTRATION,Social Security Administration,,Social Security Administration,Social Security Administration,960,960,SSA,,
241,Social Security Advisory Board,,,,,,,Social Security Advisory Board,,,,,
242,Special Inspector General for Afghanistan Reconstruction,,,,,,,Special Inspector General for Afghanistan Reconstruction,3460,,SIGAR,Inspector General for Afghanistan Reconstruction,
243,Special Panel on Appeals,,,Special Panel on Appeals,,,,Special Panel on Appeals,,,,,
244,State Justice Institute,,,State Justice Institute,,,,State Justice Institute,,,SJI,,
245,Surface Transportation Board,,,,,,,Surface Transportation Board,2140,2140,STB,,
246,Tennessee Valley Authority,,tennessee valley authority,Tennessee Valley Authority,,,Tennessee Valley Authority,Tennessee Valley Authority,3316,3316,TVA,,
247,Thrift Depositor Protection Oversight Board,,,,,,,Thrift Depositor Protection Oversight Board,3203,,,,
248,Trade and Development Agency,Trade and Development Agency,,TRADE AND DEVELOPMENT AGENCY,U. S. Trade and Development Agency,United States Trade and Development Agency,,Trade and Development Agency,3330,3330,USTDA,,
249,Transportation Security Administration,,,,,,Transportation Security Administration,Department of Homeland Security,1652,1600,TSA,,
250,U.S. Action,Action,us action,,,,,U.S. Action,3001,3001,,,
251,U.S. Census Bureau,,,,,,U.S. Census Bureau,Department of Commerce,607,600,,Census Bureau,
252,U.S. Coast Guard,,u.s. coast guard,,,,Coast Guard,Department of Homeland Security,1625,1600,,Coast Guard,
253,U.S. Courts,,u.s. courts,,,,,U.S. Courts,,,,,
254,U.S. Fish and Wildlife Service,,,,,,U.S. Fish and Wildlife Service,Department of the Interior,1018,1000,USFWS,FWS,Fish and Wildlife Service
255,U.S. Geological Survey,,,,,,U.S. Geological Survey,Department of the Interior,1028,1000,USGS,Geological Survey,
256,U.S. Information Agency,,u.s. information agency,,,,,U.S. Information Agency,3116,3116,USIA,Information Agency,
257,U.S. Patent and Trademark Office,,,,,,U.S. Patent and Trademark Office,Department of Commerce,651,600,USPTO,Patent and Trademark Office,
258,United Nations,,,United Nations,,,,United Nations,,,,,
259,United States Advisory Commission on Public Diplomacy,,,United States Advisory Commission on Public Diplomacy,,,,Department of State,,,ACPD,Advisory Commission on Public Diplomacy,
260,United States African Development Foundation,African Development Foundation,,African Development Foundation,,,,United States African Development Foundation,3005,3005,USADF,African Development Foundation,
261,United States Agency for International Development,U.S. Agency for International Development,agency for international development,,,,United States Agency for International Development,United States Agency for International Development,412,412,USAID,,
262,United States Citizenship and Immigration Services,,,,,,United States Citizenship and Immigration Services,Department of Homeland Security,1615,1600,USCIS,Citizenship and Immigration Services,
263,United States Customs and Border Protection,,,,,,United States Customs and Border Protection,Department of Homeland Security,1651,1600,CBP,Customs and Border Protection,
264,United States Election Assistance Commission,,,,,,,United States Election Assistance Commission,,,EAC,Election Assistance Commission,
265,United States Immigration and Customs Enforcement,,,,,,United States Immigration and Customs Enforcement,Department of Homeland Security,1653,1600,ICE,Immigration and Customs Enforcement,
266,United States Institute of Peace,,,United States Institute of Peace,,,,United States Institute of Peace,,,USIP,Institute of Peace,
267,United States International Development Cooperation Agency,,,United States International Development Cooperation Agency,,,,United States International Development Cooperation Agency,577,500,IDCA,International Development Cooperation Agency,
268,United States International Trade Commission,U.S. International Trade Commission,united states international trade commission,UNITED STATES INTERNATIONAL TRADE COMMISSION,United States International Trade Commission,,United States International Trade Commission,United States International Trade Commission,3117,3117,USITC,International Trade Commission,
269,United States Parole Commission,,,United States Parole Commission,,,,Department of Justice,1104,1100,USPC,Parole Commission,
270,United States Postal Service,,u.s. postal service,United States Postal Service,,,United States Postal Service,United States Postal Service,3210,3210,USPS,Postal Service,
271,United States Sentencing Commission,,,United States Sentencing Commission,,,,United States Sentencing Commission,,,,Setencing Commission,
272,United States Soldiers and Airmens Home,,united states soldiers and airmens home,,,,,United States Soldiers and Airmens Home,,,,Soldiers and Airmens Home,
273,United States Tax Court,,,United States Tax Court,,,,United States Tax Court,,,,Tax Court,
274,Veterans Benefits Administration,,,,,,Veterans Benefits Administration,Department of Veterans Affairs,,,,,
275,Veterans Health Administration,,,,,,Veterans Health Administration,Department of Veterans Affairs,,,VHA,,
276,Wage and Hour Division,,,,,,Wage and Hour Division,Department of Labor,1235,1200,WHD,,
