Date,Agency,JK Code,UA Code,Parent UA Code,Number of utterances made by the agencies per month
"=""02-1998""",Department of Commerce,33,600,600,0
"=""02-1998""",Department of Defense,45,700,700,0
"=""02-1998""",Department of Education,140,1800,1800,0
"=""02-1998""",Department of Energy,154,1900,1900,0
"=""02-1998""",Department of Health and Human Services,53,900,900,0
"=""02-1998""",Department of Homeland Security,127,1600,1600,0
"=""02-1998""",Department of Housing and Urban Development,191,2500,2500,0
"=""02-1998""",Department of Justice,88,1100,1100,5
"=""02-1998""",Department of Labor,98,1200,1200,0
"=""02-1998""",Department of State,113,1400,1400,0
"=""02-1998""",Department of the Air Force,46,701,700,0
"=""02-1998""",Department of the Army,47,702,700,0
"=""02-1998""",Department of the Interior,72,1000,1000,41
"=""02-1998""",Department of the Navy,48,703,700,0
"=""02-1998""",Department of the Treasury,114,1500,1500,0
"=""02-1998""",Department of Transportation,176,2100,2100,0
"=""02-1998""",Department of Veterans Affairs,200,2900,2900,0
"=""02-1998""",Environmental Protection Agency,164,2000,2000,0
"=""02-1998""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""02-1998""",Export-Import Bank of the United States,214,3048,3048,0
"=""02-1998""",Farm Credit Administration,215,3052,3052,0
"=""02-1998""",Federal Communications Commission,217,3060,3060,43
"=""02-1998""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""02-1998""",Federal Emergency Management Agency,139,1660,1600,0
"=""02-1998""",Federal Housing Finance Agency,198,2590,2590,0
"=""02-1998""",Federal Housing Finance Agency,219,3069,3069,0
"=""02-1998""",Federal Labor Relations Authority,220,3070,3070,0
"=""02-1998""",Federal Maritime Commission,221,3072,3072,0
"=""02-1998""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""02-1998""",Federal Reserve ,276,7100,7100,0
"=""02-1998""",Federal Trade Commission,224,3084,3084,42
"=""02-1998""",General Services Administration,225,3090,3090,48
"=""02-1998""",Inter-American Foundation,8,417,417,0
"=""02-1998""",Interstate Commerce Commission,231,3120,3120,0
"=""02-1998""",Merit Systems Protection Board,233,3124,3124,0
"=""02-1998""",National Aeronautics and Space Administration,199,2700,2700,0
"=""02-1998""",National Archives and Records Administration,226,3095,3095,0
"=""02-1998""",National Council on Disability,273,3480,3480,0
"=""02-1998""",National Credit Union Administration,235,3133,3133,0
"=""02-1998""",National Labor Relations Board,242,3142,3142,0
"=""02-1998""",National Mediation Board,240,3140,3140,0
"=""02-1998""",National Science Foundation,243,3145,3145,0
"=""02-1998""",National Transportation Safety Board,244,3147,3147,0
"=""02-1998""",Nuclear Regulatory Commission,245,3150,3150,0
"=""02-1998""",Office of Management and Budget,3,348,300,0
"=""02-1998""",Office of Personnel Management,251,3206,3206,50
"=""02-1998""",Panama Canal Commission,252,3207,3207,0
"=""02-1998""",Peace Corps,9,420,420,0
"=""02-1998""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""02-1998""",Postal Regulatory Commission,256,3211,3211,0
"=""02-1998""",Railroad Retirement Board,259,3220,3220,0
"=""02-1998""",Securities and Exchange Commission,261,3235,3235,0
"=""02-1998""",Selective Service System,262,3240,3240,0
"=""02-1998""",Small Business Administration,263,3245,3245,0
"=""02-1998""",Smithsonian Institution,264,3250,3250,0
"=""02-1998""",Social Security Administration,71,960,960,0
"=""02-1998""",Tennessee Valley Authority,267,3316,3316,0
"=""02-1998""",U.S. Coast Guard,131,1625,1600,0
"=""02-1998""",U.S. Coast Guard,177,2115,2100,0
"=""02-1998""",U.S. Information Agency,229,3116,3116,0
"=""02-1998""",United States Agency for International Development,7,412,412,0
"=""02-1998""",United States International Trade Commission,230,3117,3117,0
"=""02-1998""",United States Postal Service,255,3210,3210,0
"=""02-1999""",Broadcasting Board of Governors,228,3112,3112,0
"=""02-1999""",Commission on Civil Rights,208,3035,3035,0
"=""02-1999""",Commodities Futures Trading Commission,210,3038,3038,0
"=""02-1999""",Consumer Product Safety Commission,211,3041,3041,0
"=""02-1999""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""02-1999""",Department of Agriculture,11,500,500,35
"=""02-1999""",Department of Commerce,33,600,600,27
"=""02-1999""",Department of Defense,45,700,700,7
"=""02-1999""",Department of Education,140,1800,1800,0
"=""02-1999""",Department of Energy,154,1900,1900,0
"=""02-1999""",Department of Health and Human Services,53,900,900,69
"=""02-1999""",Department of Homeland Security,127,1600,1600,0
"=""02-1999""",Department of Housing and Urban Development,191,2500,2500,0
"=""02-1999""",Department of Justice,88,1100,1100,22
"=""02-1999""",Department of Labor,98,1200,1200,0
"=""02-1999""",Department of State,113,1400,1400,13
"=""02-1999""",Department of the Air Force,46,701,700,0
"=""02-1999""",Department of the Army,47,702,700,0
"=""02-1999""",Department of the Interior,72,1000,1000,32
"=""02-1999""",Department of the Navy,48,703,700,0
"=""02-1999""",Department of the Treasury,114,1500,1500,16
"=""02-1999""",Department of Transportation,176,2100,2100,0
"=""02-1999""",Department of Veterans Affairs,200,2900,2900,6
"=""02-1999""",Environmental Protection Agency,164,2000,2000,112
"=""02-1999""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""02-1999""",Export-Import Bank of the United States,214,3048,3048,0
"=""02-1999""",Farm Credit Administration,215,3052,3052,0
"=""02-1999""",Federal Communications Commission,217,3060,3060,14
"=""02-1999""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""02-1999""",Federal Emergency Management Agency,139,1660,1600,0
"=""02-1999""",Federal Housing Finance Agency,198,2590,2590,0
"=""02-1999""",Federal Housing Finance Agency,219,3069,3069,0
"=""02-1999""",Federal Labor Relations Authority,220,3070,3070,0
"=""02-1999""",Federal Maritime Commission,221,3072,3072,0
"=""02-1999""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""02-1999""",Federal Reserve ,276,7100,7100,0
"=""02-1999""",Federal Trade Commission,224,3084,3084,0
"=""02-1999""",General Services Administration,225,3090,3090,0
"=""02-1999""",Inter-American Foundation,8,417,417,0
"=""02-1999""",Interstate Commerce Commission,231,3120,3120,0
"=""02-1999""",Merit Systems Protection Board,233,3124,3124,0
"=""02-1999""",National Aeronautics and Space Administration,199,2700,2700,0
"=""02-1999""",National Archives and Records Administration,226,3095,3095,0
"=""02-1999""",National Council on Disability,273,3480,3480,0
"=""02-1999""",National Credit Union Administration,235,3133,3133,0
"=""02-1999""",National Labor Relations Board,242,3142,3142,0
"=""02-1999""",National Mediation Board,240,3140,3140,0
"=""02-1999""",National Science Foundation,243,3145,3145,0
"=""02-1999""",National Transportation Safety Board,244,3147,3147,0
"=""02-1999""",Nuclear Regulatory Commission,245,3150,3150,64
"=""02-1999""",Office of Management and Budget,3,348,300,307
"=""02-1999""",Office of Personnel Management,251,3206,3206,13
"=""02-1999""",Panama Canal Commission,252,3207,3207,0
"=""02-1999""",Peace Corps,9,420,420,0
"=""02-1999""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""02-1999""",Postal Regulatory Commission,256,3211,3211,0
"=""02-1999""",Railroad Retirement Board,259,3220,3220,0
"=""02-1999""",Securities and Exchange Commission,261,3235,3235,0
"=""02-1999""",Selective Service System,262,3240,3240,0
"=""02-1999""",Small Business Administration,263,3245,3245,0
"=""02-1999""",Smithsonian Institution,264,3250,3250,0
"=""02-1999""",Social Security Administration,71,960,960,0
"=""02-1999""",Tennessee Valley Authority,267,3316,3316,0
"=""02-1999""",U.S. Coast Guard,131,1625,1600,0
"=""02-1999""",U.S. Coast Guard,177,2115,2100,0
"=""02-1999""",U.S. Information Agency,229,3116,3116,0
"=""02-1999""",United States Agency for International Development,7,412,412,0
"=""02-1999""",United States International Trade Commission,230,3117,3117,0
"=""02-1999""",United States Postal Service,255,3210,3210,200
"=""02-2000""",Broadcasting Board of Governors,228,3112,3112,0
"=""02-2000""",Commission on Civil Rights,208,3035,3035,0
"=""02-2000""",Commodities Futures Trading Commission,210,3038,3038,0
"=""02-2000""",Consumer Product Safety Commission,211,3041,3041,0
"=""02-2000""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""02-2000""",Department of Agriculture,11,500,500,99
"=""02-2000""",Department of Commerce,33,600,600,37
"=""02-2000""",Department of Defense,45,700,700,160
"=""02-2000""",Department of Education,140,1800,1800,0
"=""02-2000""",Department of Energy,154,1900,1900,35
"=""02-2000""",Department of Health and Human Services,53,900,900,85
"=""02-2000""",Department of Homeland Security,127,1600,1600,0
"=""02-2000""",Department of Housing and Urban Development,191,2500,2500,19
"=""02-2000""",Department of Justice,88,1100,1100,34
"=""02-2000""",Department of Labor,98,1200,1200,35
"=""02-2000""",Department of State,113,1400,1400,360
"=""02-2000""",Department of the Air Force,46,701,700,0
"=""02-2000""",Department of the Army,47,702,700,0
"=""02-2000""",Department of the Interior,72,1000,1000,0
"=""02-2000""",Department of the Navy,48,703,700,0
"=""02-2000""",Department of the Treasury,114,1500,1500,9
"=""02-2000""",Department of Transportation,176,2100,2100,3
"=""02-2000""",Department of Veterans Affairs,200,2900,2900,40
"=""02-2000""",Environmental Protection Agency,164,2000,2000,262
"=""02-2000""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""02-2000""",Export-Import Bank of the United States,214,3048,3048,0
"=""02-2000""",Farm Credit Administration,215,3052,3052,0
"=""02-2000""",Federal Communications Commission,217,3060,3060,13
"=""02-2000""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""02-2000""",Federal Emergency Management Agency,139,1660,1600,0
"=""02-2000""",Federal Housing Finance Agency,198,2590,2590,0
"=""02-2000""",Federal Housing Finance Agency,219,3069,3069,0
"=""02-2000""",Federal Labor Relations Authority,220,3070,3070,0
"=""02-2000""",Federal Maritime Commission,221,3072,3072,0
"=""02-2000""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""02-2000""",Federal Reserve ,276,7100,7100,0
"=""02-2000""",Federal Trade Commission,224,3084,3084,64
"=""02-2000""",General Services Administration,225,3090,3090,0
"=""02-2000""",Inter-American Foundation,8,417,417,0
"=""02-2000""",Interstate Commerce Commission,231,3120,3120,0
"=""02-2000""",Merit Systems Protection Board,233,3124,3124,0
"=""02-2000""",National Aeronautics and Space Administration,199,2700,2700,0
"=""02-2000""",National Archives and Records Administration,226,3095,3095,0
"=""02-2000""",National Council on Disability,273,3480,3480,0
"=""02-2000""",National Credit Union Administration,235,3133,3133,0
"=""02-2000""",National Labor Relations Board,242,3142,3142,0
"=""02-2000""",National Mediation Board,240,3140,3140,0
"=""02-2000""",National Science Foundation,243,3145,3145,0
"=""02-2000""",National Transportation Safety Board,244,3147,3147,0
"=""02-2000""",Nuclear Regulatory Commission,245,3150,3150,0
"=""02-2000""",Office of Management and Budget,3,348,300,56
"=""02-2000""",Office of Personnel Management,251,3206,3206,0
"=""02-2000""",Panama Canal Commission,252,3207,3207,0
"=""02-2000""",Peace Corps,9,420,420,0
"=""02-2000""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""02-2000""",Postal Regulatory Commission,256,3211,3211,0
"=""02-2000""",Railroad Retirement Board,259,3220,3220,0
"=""02-2000""",Securities and Exchange Commission,261,3235,3235,47
"=""02-2000""",Selective Service System,262,3240,3240,0
"=""02-2000""",Small Business Administration,263,3245,3245,26
"=""02-2000""",Smithsonian Institution,264,3250,3250,0
"=""02-2000""",Social Security Administration,71,960,960,0
"=""02-2000""",Tennessee Valley Authority,267,3316,3316,13
"=""02-2000""",U.S. Coast Guard,131,1625,1600,0
"=""02-2000""",U.S. Coast Guard,177,2115,2100,0
"=""02-2000""",U.S. Information Agency,229,3116,3116,0
"=""02-2000""",United States Agency for International Development,7,412,412,0
"=""02-2000""",United States International Trade Commission,230,3117,3117,0
"=""02-2000""",United States Postal Service,255,3210,3210,0
"=""02-2001""",Broadcasting Board of Governors,228,3112,3112,0
"=""02-2001""",Commission on Civil Rights,208,3035,3035,0
"=""02-2001""",Commodities Futures Trading Commission,210,3038,3038,0
"=""02-2001""",Consumer Product Safety Commission,211,3041,3041,0
"=""02-2001""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""02-2001""",Department of Agriculture,11,500,500,45
"=""02-2001""",Department of Commerce,33,600,600,0
"=""02-2001""",Department of Defense,45,700,700,0
"=""02-2001""",Department of Education,140,1800,1800,6
"=""02-2001""",Department of Energy,154,1900,1900,87
"=""02-2001""",Department of Health and Human Services,53,900,900,0
"=""02-2001""",Department of Homeland Security,127,1600,1600,0
"=""02-2001""",Department of Housing and Urban Development,191,2500,2500,0
"=""02-2001""",Department of Justice,88,1100,1100,458
"=""02-2001""",Department of Labor,98,1200,1200,0
"=""02-2001""",Department of State,113,1400,1400,0
"=""02-2001""",Department of the Air Force,46,701,700,0
"=""02-2001""",Department of the Army,47,702,700,0
"=""02-2001""",Department of the Interior,72,1000,1000,0
"=""02-2001""",Department of the Navy,48,703,700,0
"=""02-2001""",Department of the Treasury,114,1500,1500,0
"=""02-2001""",Department of Transportation,176,2100,2100,59
"=""02-2001""",Department of Veterans Affairs,200,2900,2900,0
"=""02-2001""",Environmental Protection Agency,164,2000,2000,0
"=""02-2001""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""02-2001""",Export-Import Bank of the United States,214,3048,3048,0
"=""02-2001""",Farm Credit Administration,215,3052,3052,15
"=""02-2001""",Federal Communications Commission,217,3060,3060,0
"=""02-2001""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""02-2001""",Federal Emergency Management Agency,139,1660,1600,0
"=""02-2001""",Federal Housing Finance Agency,198,2590,2590,0
"=""02-2001""",Federal Housing Finance Agency,219,3069,3069,0
"=""02-2001""",Federal Labor Relations Authority,220,3070,3070,0
"=""02-2001""",Federal Maritime Commission,221,3072,3072,0
"=""02-2001""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""02-2001""",Federal Reserve ,276,7100,7100,171
"=""02-2001""",Federal Trade Commission,224,3084,3084,0
"=""02-2001""",General Services Administration,225,3090,3090,0
"=""02-2001""",Inter-American Foundation,8,417,417,0
"=""02-2001""",Interstate Commerce Commission,231,3120,3120,0
"=""02-2001""",Merit Systems Protection Board,233,3124,3124,0
"=""02-2001""",National Aeronautics and Space Administration,199,2700,2700,0
"=""02-2001""",National Archives and Records Administration,226,3095,3095,0
"=""02-2001""",National Council on Disability,273,3480,3480,20
"=""02-2001""",National Credit Union Administration,235,3133,3133,0
"=""02-2001""",National Labor Relations Board,242,3142,3142,0
"=""02-2001""",National Mediation Board,240,3140,3140,0
"=""02-2001""",National Science Foundation,243,3145,3145,0
"=""02-2001""",National Transportation Safety Board,244,3147,3147,0
"=""02-2001""",Nuclear Regulatory Commission,245,3150,3150,0
"=""02-2001""",Office of Management and Budget,3,348,300,0
"=""02-2001""",Office of Personnel Management,251,3206,3206,0
"=""02-2001""",Panama Canal Commission,252,3207,3207,0
"=""02-2001""",Peace Corps,9,420,420,0
"=""02-2001""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""02-2001""",Postal Regulatory Commission,256,3211,3211,0
"=""02-2001""",Railroad Retirement Board,259,3220,3220,0
"=""02-2001""",Securities and Exchange Commission,261,3235,3235,38
"=""02-2001""",Selective Service System,262,3240,3240,0
"=""02-2001""",Small Business Administration,263,3245,3245,0
"=""02-2001""",Smithsonian Institution,264,3250,3250,0
"=""02-2001""",Social Security Administration,71,960,960,0
"=""02-2001""",Tennessee Valley Authority,267,3316,3316,0
"=""02-2001""",U.S. Coast Guard,131,1625,1600,0
"=""02-2001""",U.S. Coast Guard,177,2115,2100,0
"=""02-2001""",U.S. Information Agency,229,3116,3116,0
"=""02-2001""",United States Agency for International Development,7,412,412,0
"=""02-2001""",United States International Trade Commission,230,3117,3117,0
"=""02-2001""",United States Postal Service,255,3210,3210,0
"=""02-2002""",Broadcasting Board of Governors,228,3112,3112,0
"=""02-2002""",Commission on Civil Rights,208,3035,3035,0
"=""02-2002""",Commodities Futures Trading Commission,210,3038,3038,0
"=""02-2002""",Consumer Product Safety Commission,211,3041,3041,0
"=""02-2002""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""02-2002""",Department of Agriculture,11,500,500,27
"=""02-2002""",Department of Commerce,33,600,600,49
"=""02-2002""",Department of Defense,45,700,700,67
"=""02-2002""",Department of Education,140,1800,1800,3
"=""02-2002""",Department of Energy,154,1900,1900,25
"=""02-2002""",Department of Health and Human Services,53,900,900,9
"=""02-2002""",Department of Homeland Security,127,1600,1600,0
"=""02-2002""",Department of Housing and Urban Development,191,2500,2500,169
"=""02-2002""",Department of Justice,88,1100,1100,30
"=""02-2002""",Department of Labor,98,1200,1200,130
"=""02-2002""",Department of State,113,1400,1400,143
"=""02-2002""",Department of the Air Force,46,701,700,0
"=""02-2002""",Department of the Army,47,702,700,0
"=""02-2002""",Department of the Interior,72,1000,1000,157
"=""02-2002""",Department of the Navy,48,703,700,0
"=""02-2002""",Department of the Treasury,114,1500,1500,284
"=""02-2002""",Department of Transportation,176,2100,2100,157
"=""02-2002""",Department of Veterans Affairs,200,2900,2900,0
"=""02-2002""",Environmental Protection Agency,164,2000,2000,3
"=""02-2002""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""02-2002""",Export-Import Bank of the United States,214,3048,3048,0
"=""02-2002""",Farm Credit Administration,215,3052,3052,0
"=""02-2002""",Federal Communications Commission,217,3060,3060,0
"=""02-2002""",Federal Deposit Insurance Corporation,218,3064,3064,24
"=""02-2002""",Federal Emergency Management Agency,139,1660,1600,0
"=""02-2002""",Federal Housing Finance Agency,198,2590,2590,0
"=""02-2002""",Federal Housing Finance Agency,219,3069,3069,0
"=""02-2002""",Federal Labor Relations Authority,220,3070,3070,0
"=""02-2002""",Federal Maritime Commission,221,3072,3072,39
"=""02-2002""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""02-2002""",Federal Reserve ,276,7100,7100,116
"=""02-2002""",Federal Trade Commission,224,3084,3084,0
"=""02-2002""",General Services Administration,225,3090,3090,0
"=""02-2002""",Inter-American Foundation,8,417,417,0
"=""02-2002""",Interstate Commerce Commission,231,3120,3120,0
"=""02-2002""",Merit Systems Protection Board,233,3124,3124,0
"=""02-2002""",National Aeronautics and Space Administration,199,2700,2700,0
"=""02-2002""",National Archives and Records Administration,226,3095,3095,0
"=""02-2002""",National Council on Disability,273,3480,3480,0
"=""02-2002""",National Credit Union Administration,235,3133,3133,0
"=""02-2002""",National Labor Relations Board,242,3142,3142,0
"=""02-2002""",National Mediation Board,240,3140,3140,0
"=""02-2002""",National Science Foundation,243,3145,3145,0
"=""02-2002""",National Transportation Safety Board,244,3147,3147,0
"=""02-2002""",Nuclear Regulatory Commission,245,3150,3150,0
"=""02-2002""",Office of Management and Budget,3,348,300,121
"=""02-2002""",Office of Personnel Management,251,3206,3206,0
"=""02-2002""",Panama Canal Commission,252,3207,3207,0
"=""02-2002""",Peace Corps,9,420,420,0
"=""02-2002""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""02-2002""",Postal Regulatory Commission,256,3211,3211,0
"=""02-2002""",Railroad Retirement Board,259,3220,3220,0
"=""02-2002""",Securities and Exchange Commission,261,3235,3235,216
"=""02-2002""",Selective Service System,262,3240,3240,0
"=""02-2002""",Small Business Administration,263,3245,3245,112
"=""02-2002""",Smithsonian Institution,264,3250,3250,0
"=""02-2002""",Social Security Administration,71,960,960,0
"=""02-2002""",Tennessee Valley Authority,267,3316,3316,0
"=""02-2002""",U.S. Coast Guard,131,1625,1600,0
"=""02-2002""",U.S. Coast Guard,177,2115,2100,0
"=""02-2002""",U.S. Information Agency,229,3116,3116,0
"=""02-2002""",United States Agency for International Development,7,412,412,27
"=""02-2002""",United States International Trade Commission,230,3117,3117,0
"=""02-2002""",United States Postal Service,255,3210,3210,0
"=""02-2003""",Broadcasting Board of Governors,228,3112,3112,0
"=""02-2003""",Commission on Civil Rights,208,3035,3035,0
"=""02-2003""",Commodities Futures Trading Commission,210,3038,3038,0
"=""02-2003""",Consumer Product Safety Commission,211,3041,3041,0
"=""02-2003""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""02-2003""",Department of Agriculture,11,500,500,0
"=""02-2003""",Department of Commerce,33,600,600,27
"=""02-2003""",Department of Defense,45,700,700,118
"=""02-2003""",Department of Education,140,1800,1800,0
"=""02-2003""",Department of Energy,154,1900,1900,178
"=""02-2003""",Department of Health and Human Services,53,900,900,235
"=""02-2003""",Department of Homeland Security,127,1600,1600,25
"=""02-2003""",Department of Housing and Urban Development,191,2500,2500,33
"=""02-2003""",Department of Justice,88,1100,1100,0
"=""02-2003""",Department of Labor,98,1200,1200,0
"=""02-2003""",Department of State,113,1400,1400,157
"=""02-2003""",Department of the Air Force,46,701,700,0
"=""02-2003""",Department of the Army,47,702,700,0
"=""02-2003""",Department of the Interior,72,1000,1000,110
"=""02-2003""",Department of the Navy,48,703,700,0
"=""02-2003""",Department of the Treasury,114,1500,1500,261
"=""02-2003""",Department of Transportation,176,2100,2100,136
"=""02-2003""",Department of Veterans Affairs,200,2900,2900,0
"=""02-2003""",Environmental Protection Agency,164,2000,2000,62
"=""02-2003""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""02-2003""",Export-Import Bank of the United States,214,3048,3048,13
"=""02-2003""",Farm Credit Administration,215,3052,3052,0
"=""02-2003""",Federal Communications Commission,217,3060,3060,195
"=""02-2003""",Federal Deposit Insurance Corporation,218,3064,3064,30
"=""02-2003""",Federal Emergency Management Agency,139,1660,1600,0
"=""02-2003""",Federal Housing Finance Agency,198,2590,2590,0
"=""02-2003""",Federal Housing Finance Agency,219,3069,3069,0
"=""02-2003""",Federal Labor Relations Authority,220,3070,3070,0
"=""02-2003""",Federal Maritime Commission,221,3072,3072,0
"=""02-2003""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""02-2003""",Federal Reserve ,276,7100,7100,220
"=""02-2003""",Federal Trade Commission,224,3084,3084,0
"=""02-2003""",General Services Administration,225,3090,3090,0
"=""02-2003""",Inter-American Foundation,8,417,417,0
"=""02-2003""",Interstate Commerce Commission,231,3120,3120,0
"=""02-2003""",Merit Systems Protection Board,233,3124,3124,0
"=""02-2003""",National Aeronautics and Space Administration,199,2700,2700,243
"=""02-2003""",National Archives and Records Administration,226,3095,3095,0
"=""02-2003""",National Council on Disability,273,3480,3480,0
"=""02-2003""",National Credit Union Administration,235,3133,3133,0
"=""02-2003""",National Labor Relations Board,242,3142,3142,0
"=""02-2003""",National Mediation Board,240,3140,3140,0
"=""02-2003""",National Science Foundation,243,3145,3145,16
"=""02-2003""",National Transportation Safety Board,244,3147,3147,0
"=""02-2003""",Nuclear Regulatory Commission,245,3150,3150,97
"=""02-2003""",Office of Management and Budget,3,348,300,0
"=""02-2003""",Office of Personnel Management,251,3206,3206,0
"=""02-2003""",Panama Canal Commission,252,3207,3207,0
"=""02-2003""",Peace Corps,9,420,420,0
"=""02-2003""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""02-2003""",Postal Regulatory Commission,256,3211,3211,0
"=""02-2003""",Railroad Retirement Board,259,3220,3220,0
"=""02-2003""",Securities and Exchange Commission,261,3235,3235,116
"=""02-2003""",Selective Service System,262,3240,3240,0
"=""02-2003""",Small Business Administration,263,3245,3245,62
"=""02-2003""",Smithsonian Institution,264,3250,3250,0
"=""02-2003""",Social Security Administration,71,960,960,0
"=""02-2003""",Tennessee Valley Authority,267,3316,3316,0
"=""02-2003""",U.S. Coast Guard,131,1625,1600,0
"=""02-2003""",U.S. Coast Guard,177,2115,2100,0
"=""02-2003""",U.S. Information Agency,229,3116,3116,0
"=""02-2003""",United States Agency for International Development,7,412,412,64
"=""02-2003""",United States International Trade Commission,230,3117,3117,0
"=""02-2003""",United States Postal Service,255,3210,3210,0
"=""02-2004""",Broadcasting Board of Governors,228,3112,3112,15
"=""02-2004""",Commission on Civil Rights,208,3035,3035,0
"=""02-2004""",Commodities Futures Trading Commission,210,3038,3038,0
"=""02-2004""",Consumer Product Safety Commission,211,3041,3041,0
"=""02-2004""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""02-2004""",Department of Agriculture,11,500,500,0
"=""02-2004""",Department of Commerce,33,600,600,37
"=""02-2004""",Department of Defense,45,700,700,30
"=""02-2004""",Department of Education,140,1800,1800,48
"=""02-2004""",Department of Energy,154,1900,1900,34
"=""02-2004""",Department of Health and Human Services,53,900,900,9
"=""02-2004""",Department of Homeland Security,127,1600,1600,548
"=""02-2004""",Department of Housing and Urban Development,191,2500,2500,0
"=""02-2004""",Department of Justice,88,1100,1100,9
"=""02-2004""",Department of Labor,98,1200,1200,12
"=""02-2004""",Department of State,113,1400,1400,185
"=""02-2004""",Department of the Air Force,46,701,700,1
"=""02-2004""",Department of the Army,47,702,700,0
"=""02-2004""",Department of the Interior,72,1000,1000,81
"=""02-2004""",Department of the Navy,48,703,700,0
"=""02-2004""",Department of the Treasury,114,1500,1500,151
"=""02-2004""",Department of Transportation,176,2100,2100,11
"=""02-2004""",Department of Veterans Affairs,200,2900,2900,91
"=""02-2004""",Environmental Protection Agency,164,2000,2000,2
"=""02-2004""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""02-2004""",Export-Import Bank of the United States,214,3048,3048,0
"=""02-2004""",Farm Credit Administration,215,3052,3052,0
"=""02-2004""",Federal Communications Commission,217,3060,3060,416
"=""02-2004""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""02-2004""",Federal Emergency Management Agency,139,1660,1600,0
"=""02-2004""",Federal Housing Finance Agency,198,2590,2590,0
"=""02-2004""",Federal Housing Finance Agency,219,3069,3069,0
"=""02-2004""",Federal Labor Relations Authority,220,3070,3070,0
"=""02-2004""",Federal Maritime Commission,221,3072,3072,0
"=""02-2004""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""02-2004""",Federal Reserve ,276,7100,7100,212
"=""02-2004""",Federal Trade Commission,224,3084,3084,0
"=""02-2004""",General Services Administration,225,3090,3090,35
"=""02-2004""",Inter-American Foundation,8,417,417,0
"=""02-2004""",Interstate Commerce Commission,231,3120,3120,0
"=""02-2004""",Merit Systems Protection Board,233,3124,3124,0
"=""02-2004""",National Aeronautics and Space Administration,199,2700,2700,178
"=""02-2004""",National Archives and Records Administration,226,3095,3095,0
"=""02-2004""",National Council on Disability,273,3480,3480,0
"=""02-2004""",National Credit Union Administration,235,3133,3133,0
"=""02-2004""",National Labor Relations Board,242,3142,3142,0
"=""02-2004""",National Mediation Board,240,3140,3140,0
"=""02-2004""",National Science Foundation,243,3145,3145,13
"=""02-2004""",National Transportation Safety Board,244,3147,3147,0
"=""02-2004""",Nuclear Regulatory Commission,245,3150,3150,0
"=""02-2004""",Office of Management and Budget,3,348,300,74
"=""02-2004""",Office of Personnel Management,251,3206,3206,66
"=""02-2004""",Panama Canal Commission,252,3207,3207,0
"=""02-2004""",Peace Corps,9,420,420,0
"=""02-2004""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""02-2004""",Postal Regulatory Commission,256,3211,3211,0
"=""02-2004""",Railroad Retirement Board,259,3220,3220,0
"=""02-2004""",Securities and Exchange Commission,261,3235,3235,0
"=""02-2004""",Selective Service System,262,3240,3240,0
"=""02-2004""",Small Business Administration,263,3245,3245,76
"=""02-2004""",Smithsonian Institution,264,3250,3250,0
"=""02-2004""",Social Security Administration,71,960,960,0
"=""02-2004""",Tennessee Valley Authority,267,3316,3316,0
"=""02-2004""",U.S. Coast Guard,131,1625,1600,0
"=""02-2004""",U.S. Coast Guard,177,2115,2100,0
"=""02-2004""",U.S. Information Agency,229,3116,3116,0
"=""02-2004""",United States Agency for International Development,7,412,412,64
"=""02-2004""",United States International Trade Commission,230,3117,3117,0
"=""02-2004""",United States Postal Service,255,3210,3210,0
"=""02-2005""",Broadcasting Board of Governors,228,3112,3112,0
"=""02-2005""",Commission on Civil Rights,208,3035,3035,0
"=""02-2005""",Commodities Futures Trading Commission,210,3038,3038,0
