"","Category","Senate.Hearing.Number","Congress","Committees","Committee_Blanks","Title","Collection","Filename","Held.Date","Congress.Chamber","Hearing.Sub.Type","ILS.System.ID","SuDoc.Class.Number","X","Witnesses","Members.of.the.congress","File.exists","heldDate","Scrapped.witnesses","Agency","JK.code","UA.code","Parent.UA.code","US.State","Inspector.General","subCommittee","Committee.member.count","Denominator.count","Party.count.100.200.328.999.9999.","Party...Committee.info.Party.Senior.Party.Member.Committee.Seniority","Expertise"
"18190","Congressional Committee Materials",NA,"107th","138",NA,"HOUSE HEARING, 107TH CONGRESS - DOD FINANCIAL MANAGEMENT: FOLLOWING ONE ITEM THROUGH THE MAZE","Congressional Hearings","CHRG-107hhrg86962","25-Jun-02","House of Representatives","General",NA,"Y 4.G 74/7",NA,"Refer column R","Janice D. Schakowsky : United States House of Representatives;

Christopher Shays : United States House of Representatives;

Ron Lewis : United States House of Representatives;

John Sullivan : United States House of Representatives;

Benjamin A. Gilman : United States House of Representatives;

Dennis J. Kucinich : United States House of Representatives;

John F. Tierney : United States House of Representatives;","Yes","25-06-2002","Boutell, JoAnn, Director, Commercial Pay Services, Defense Finance and Accounting Service, Department of Defense

Douglas Bryce, Program Manager, Joint Service Lightweight Technology Suit, Department of Defense

Bruce E.Sullivan, Director, Joint Purchase Card Program Management Office, Department of Defense

Coyle, John J., Department of Business Logistics, Pennsylvania State University

Kutz, Gregory, Director, Financial Management and Assurance Team, U.S. General Accounting Office, accompanied by David Warren, Director, Defense Capabilities and Management Team

Darby W. Smith, Assistant Director, Financial Management and Assurance Team

John Ryan, Office of SpecialInvestigation

","Defense Finance and Accounting Service

Department of Defense

Department of Defense

-

General Accounting Office

-

-","51

45

45

-

315

-

-","730.0

700.0

700.0

-

nan

-

-","700.0

700.0

700.0

-

nan

-

-","-

-

-

Pennsylvania

-

-

-","No

No

No

No

No

No

No","Subcommittee on National Security, Veterans Affairs and International Relations",7,"49","21:27:1:-:-","---

---

---

---

---

---

---","-"
"9154","Congressional Committee Materials","S. Hrg. 109-1116","109th","321",NA,"S. HRG. 109-1116 - HURRICANE PREPAREDNESS IN THE GRAND STRAND","Congressional Hearings","CHRG-109shrg64525","10-Aug-05","Senate","Field","803877","Y 4.C 73/7:S.HRG.109-1116",NA,"Prevatt David O. : Ph.D. PE Assistant Professor and Director Wind Load Test Facility Department of Civil Engineering Clemson University;

Dean Brad : President/CEO Myrtle Beach Area Chamber of Commerce;

Cantore Jim : On-Air Meteorologist The Weather Channel;

Whitten Paul D. : Director Horry County Public Safety Division;

Gandy Jim : Chief Meteorologist WLTX-TV Columbia SC;","demint, james w demint, jim;","Yes","10/8/05","-","-

-

-

-

-","-

-

-

-

-","-

-

-

-

-","-

-

-

-

-","-

-

-

-

-","No

No

No

No

No","Subcommittee on Disaster Prevention and Prediction",0,"22","10:12:-:-:-","---","Ph.D. : Doctor of Philosophy

-

-

-

-"
"4606","Congressional Committee Materials","S. Hrg. 112-383","112th","358",NA,"S. HRG. 112-383 - THE DUE PROCESS GUARANTEE ACT: BANNING INDEFINITE DETENTION OF AMERICANS","Congressional Hearings","CHRG-112shrg74064","29-Feb-12","Senate","General","874541","Y 4.J 89/2:S.HRG.112-383",NA,"Bannai Lorraine : Professor of Legal Skills and Director Fred T. Korematsu Center for Law and Equality Seattle University School of Law Seattle Washington;

Bradbury Steven G. : former Acting Assistant Attorney General Principal Deputy for the Office of Legal Counsel U.S. Department of Justice Washington DC;

Vladeck Stephen I. : Professor of Law and Associate Dean for Scholarship American University Washington College of Law Washington DC;","Amy Klobuchar : United States Senate;

Lindsey Graham : United States Senate;

Patrick J. Leahy : United States Senate;

landry, jeffrey;

garamendi, john jgaramendi, john;

Mike Lee : United States Senate;

grassley, charles e;

Dianne Feinstein : United States Senate;

Al Franken : United States Senate;","Yes","29-02-2012","-","-

Department of Justice

-","-

88

-","-

1100.0

-","-

1100.0

-","Washington

Washington

Washington","No

No

No","-",9,"18","10:8:-:-:-","---

---

---

---

---

---

---

---

---","-

-

-"
"23188","Congressional Committee Materials",NA,"108th","113",NA,"HOUSE HEARING, 108TH CONGRESS - SUCCESSFUL HOMEOWNERSHIP AND RENTING THROUGH HOUSING COUNSELING","Congressional Hearings","CHRG-108hhrg93841","18-Mar-04","House of Representatives","General",NA,"Y 4.F 49/20",NA,"Bibby Douglas M. : President National Multi Housing Council;

Couch Robert M. : President and CEO New South Federal Savings Bank on behalf of the Mortgage Bankers Association;

Smith William : President and CEO Mutual Community Savings Bank on behalf of America's Community Bankers;

Diaz Lautaro : Deputy Vice President for Community Development National Council of La Raza;

Grist Lisa-Nicolle : Executive Director Neighbors Helping Neighbors Inc;

Weicher Hon. John C. : Assistant Secretary for Housing-Federal Housing Commissioner U.S. Department of Housing and Urban Development;

Jordan Rodney : Vice Chairman Norfolk Redevelopment and Housing Authority Norfolk VA;

Walsh Chapman : Housing Director Green Forest Community Development Corporation Decatur GA;

Wade Kenneth D. : Executive Director Neighborhood Reinvestment Corporation;

Obloy Gary F. : Executive Director Community Action Commission of Belmont County Inc. Clairsville OH;

Spriggs William E. : Executive Director National Urban League Institute for Opportunity and Equality;

Williamson Odette : Staff Attorney National Consumer Law Center;

Canfield Anne C. : Executive Director Consumer Mortgage Coalition;","Robert W. Ney : United States House of Representatives;

Nydia M. Velazquez : United States House of Representatives;

Barbara Lee : United States House of Representatives;

Maxine Waters : United States House of Representatives;

Gary G. Miller : United States House of Representatives;

clay, william lacy;

David Scott : United States House of Representatives;

Rick Renzi : United States House of Representatives;","Yes","18-03-2004","-","-

-

-

-

-

Department of Housing and Urban Development

-

-

-

-

-

-

-","-

-

-

-

-

191

-

-

-

-

-

-

-","-

-

-

-

-

2500.0

-

-

-

-

-

-

-","-

-

-

-

-

2500.0

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-

-

-","No

No

No

No

No

No

No

No

No

No

No

No

No","Subcommittee on Housing and Community Opportunity",8,"73","34:38:1:-:-","---

---

---

---

---

100:0:2

---

---","-

-

-

-

-

-

-

-

-

-

-

-

-"
"3550","Congressional Committee Materials","S. Hrg. 112-836","112th","384",NA,"S. HRG. 112-836 - ENTREPRENEURIAL DEVELOPMENT: OBSTACLES AND OPPORTUNITIES FOR SUPPORTING, SUSTAINING, AND GROWING AMERICA'S ENTREPRENEURS","Congressional Hearings","CHRG-112shrg77565","21-Jul-11","Senate","General","914691","Y 4.SM 1/2:S.HRG.112-836",NA,"Tymes Clinton : Director Delaware Small Business Development Center;

Yancey Jr. : W. Kenneth Chief Executive Officer SCORE;

Snair Scott : Program Director New Jersey Veterans Business Outreach Center;

Shear Bill : Director Financial Markets and Community Investment Government Accountability Office;

Dietz Diane : nan;

Bottary Leo J. : Vice President of Public Affairs Vistage International Inc;

Weeks Julie R. : Chair of the Board Association of Women's Business Centers;

Williams Daryl : Chief Executive Officer Urban Entrepreneur Partnership Inc;

Sanchez Ami : nan;

Rowe Charles ``Tee : '' President and Chief Executive Officer Association of Small Business Development Centers;

Schick Holly I. : Deputy Associate Administrator Office of Entrepreneurial Development U. S. SMall Business Administration;","Jeanne Shaheen : United States Senate;","Yes","21-07-2011","-","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","Delaware

-

New Jersey

-

-

-

-

-

-

-

-","No

No

No

No

No

No

No

No

No

No

No","-",0,"19","9:9:1:-:-","---","-

-

-

-

-

-

-

-

-

-

-"
"7051","Congressional Committee Materials","S. Hrg. 110-1235","110th","332",NA,"S. HRG. 110-1235 - OVERSIGHT OF EPA'S DECISION TO DENY THE CALIFORNIA WAIVER","Congressional Hearings","CHRG-110shrg82736","24-Jan-08","Senate","General","914204","Y 4.P 96/10:S.HRG.110-1235",NA,"O'Malley Hon. Martin : Governor State of Maryland;

Doniger David : Policy Director Climate Center Natural Resources Defense Council;

Cox Hon. Mike : Attorney General State of Michigan;

Rendell Hon. Edward G. : Governor Commonwealth of Pennsylvania;

Holmstead Jeffrey R. : Former Assistant Administrator for Air and Radiation U.S. Environmental Protection Agency;

Johnson Stephen L. : Administrator U.S. Environmental Protection Agency;

Douglas Hon. James : Governor State of Vermont;

Haaland Doug : Director of Member Services Assembly Republican Caucus State of California;","Frank R. Lautenberg : United States Senate;

Amy Klobuchar : United States Senate;

Joseph I. Lieberman : United States Senate;

James M. Inhofe : United States Senate;

Barbara Boxer : United States Senate;

Benjamin L. Cardin : United States Senate;

Bernard Sanders : United States Senate;

carper, thomas richard;

Sheldon Whitehouse : United States Senate;","Yes","24-01-2008","-","-

-

-

-

Environmental Protection Agency

Environmental Protection Agency

-

-","-

-

-

-

164

164

-

-","-

-

-

-

2000.0

2000.0

-

-","-

-

-

-

2000.0

2000.0

-

-","Maryland

-

Michigan

Pennsylvania

-

-

Vermont

California","No

No

No

No

No

No

No

No","-",9,"20","8:10:2:-:-","---

---

---

---

---

---

---

100:0:7

---","-

-

-

-

-

-

-

-"
"11853","Congressional Committee Materials",NA,"112th","251",NA,"HOUSE HEARING, 112TH CONGRESS - USING RESOURCES EFFECTIVELY TO SECURE OUR BORDER AT PORTS OF ENTRY STOPPING THE ILLICIT FLOW OF MONEY, GUNS, AND DRUGS","Congressional Hearings","CHRG-112hhrg72225","5-Apr-11","House of Representatives","General","870306","Y 4.H 75:112-15",NA,"Mr. Stanley F. Korosec Vice President : Operations Blue Water Bridge Canada:;

Mr. Timothy J. Koerner Vice President and Chief Security Officer : CN:;

Mr. Thomas Winkowski Assistant Commissioner : U.S. Customs and Border Protection Department of Homeland Security:;

Hon. Richard F. Cortez Mayor : McAllen Texas:;","Brian Higgins : United States House of Representatives;

Bennie G. Thompson : United States House of Representatives;

quayle, ben;

Jeff Duncan : United States House of Representatives;

Candice S. Miller : United States House of Representatives;

Sheila Jackson Lee : United States House of Representatives;

Michael T. McCaul : United States House of Representatives;

Henry Cuellar : United States House of Representatives;

Paul C. Broun : United States House of Representatives;","Yes","5/4/11","-","-

-

Department of Homeland Security

-","-

-

127

-","-

-

1600.0

-","-

-

1600.0

-","#NAME?","No

No

No

No","Subcommittee on Border and Maritime Security",9,"37","17:20:-:-:-","---

---

200:0:1

---

---

---

---

---

---","-

-

-

-"
"18541","Congressional Committee Materials",NA,"106th","138",NA,"HOUSE HEARING, 106TH CONGRESS - UNPAID PAYROLL TAXES: BILLIONS IN DELINQUENT TAXES AND PENALTY ASSESSMENTS ARE OWED","Congressional Hearings","CHRG-106hhrg64388","2-Aug-99","House of Representatives","General",NA,"Y 4.G 74/7",NA,"Refer column R","horn, steve;

Jim Turner : United States House of Representatives;

Judy Biggert : United States House of Representatives;","Yes","2/8/99","Kutz, Gregory D., Associate Director, Governmentwide Accounting and Financial Management, Accounting and Information Management Division, U.S. General Accounting Office, accompanied by Cornelia Ashby, Associate Director, Tax Policy and Administration Issues, General Government Division

Steve J. Sebastian, Assistant Director,Governmentwide Accounting and Financial Management

Rossotti, Charles, Commissioner, Internal Revenue Service, accompanied by Paul Cosgrave, Chief Information Officer, Internal Revenue Service

David Mader, Chief, Managementand Finance, Internal Revenue Service

CharlesPeterson, Assistant Commissioner

","General Accounting Office

-

Internal Revenue Service

Internal Revenue Service

-","315

-

123

123

-","nan

-

1545.0

1545.0

-","nan

-

1500.0

1500.0

-","-

-

-

-

-","No

No

No

No

No","Subcommittee on Government Management, Information, and Technology",3,"47","20:26:1:-:-","200:0:4

---

---","-"
"3047","Congressional Committee Materials","S. Hrg. 112-37","112th","435",NA,"S. HRG. 112-37 - STOLEN IDENTITIES: THE IMPACT OF RACIST STEREOTYPES ON INDIGENOUS PEOPLE","Congressional Hearings","CHRG-112shrg66994","5-May-11","Senate","General","835141","Y 4.IN 2/11:S.HRG.112-37",NA,"Spencer Chaske : Actor/Producer Partner Urban Dream Productions 33 Prepared statement;

Hall Hon. Tex G. : Chairman Mandan Hidatsa & Arikara Nation; Chairman Great Plains Tribal Chairman's Association; accompanied by Tina Marie Osceola representing the Seminole Tribe of Florida;

Fryberg Stephanie A. : Ph.D Associate Professor of Social and Cultural Psychology University of Arizona;

Teters Charlene : Studio Arts Faculty Institute of American Indian Arts;

Harjo Suzan Shown : President The Morning Star Institute;

Warne Jim E. : President Warrior Society Development;","Tim Johnson : United States Senate;

Tom Udall : United States Senate;","Yes","5/5/11","-","-

-

-

Institute of American Indian Arts

-

-","-

-

-

318

-

-","-

-

-

nan

-

-","-

-

-

nan

-

-","-

Florida

Arizona

-

-

-","No

No

No

No

No

No","-",2,"14","9:5:-:-:-","---

---","-

-

-

-

-

-"
"7121","Congressional Committee Materials","S. Hrg. 110-1259","110th","332",NA,"S. HRG. 110-1259 - EPA'S CLEAN AIR INTERSTATE RULE (CAIR): RECENT COURT DECISION AND ITS IMPLICATIONS","Congressional Hearings","CHRG-110shrg88904","29-Jul-08","Senate","General",NA,"Y 4.P 96/10",NA,"Svenson Eric : Vice President Environment Health and Safety Public Service Enterprise Group;

Spence William H. : Executive Vice President and Chief Operating Officer Ppl Corporation;

Walke John D. : Clean Air Director Natural Resources Defense Council;

Mclean Brian : Director Office of Atmospheric Programs Office and Air and Radiation United States Environmental Protection Agency;

Korleski Christopher : Director Ohio Environmental Protecton Agency;

Snyder Jared : Assistant Commissioner for Air Resources Climate Change and Energy New York State Department of Environmental Conservation;","George V. Voinovich : United States Senate;

Joseph I. Lieberman : United States Senate;

Hillary Rodham Clinton : United States Senate;

James M. Inhofe : United States Senate;

carper, thomas richard;","Yes","29-07-2008","-","-

-

-

Environmental Protection Agency

-

-","-

-

-

164

-

-","-

-

-

2000.0

-

-","-

-

-

2000.0

-

-","#NAME?","No

No

No

No

No

No","Subcommittee on Clean Air and Nuclear Safety",5,"20","8:10:2:-:-","---

---

---

---

100:0:7","-

-

-

-

-

-"
"4852","Congressional Committee Materials","S. Hrg. 109-557","109th","358",NA,"S. HRG. 109-557 - THE MCCARRAN-FERGUSON ACT: IMPLICATIONS OF REPEALING THE INSURERS' ANTITRUST EXEMPTION","Congressional Hearings","CHRG-109shrg29672","20-Jun-06","Senate","General",NA,"Y 4.J 89/2",NA,"McRaith Michael : Illinois Director of Insurance Chair Broker Activities Task Force National Association of Insurance Commissioners Chicago Illinois;

Racicot Marc : former Governor of Montana and President American Insurance Association Washington D.C;

Hoffmann Elinor : Esq. Assistant Attorney General Antitrust Bureau Office of the Attorney General for the State of New York New York New York;

Thompson Kevin : Senior Vice President Insurance Services Office Jersey City New Jersey;

Hunter J. Robert : Insurance Director Consumer Federation of America Washington D.C;

Klawiter Donald : Chair Section of Antitrust Law American Bar Association Washington D.C;","Arlen Specter : United States Senate;

Patrick J. Leahy : United States Senate;","Yes","20-06-2006","-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","Illinois

Montana

New York

New Jersey

Washington

Washington","No

No

No

No

No

No","-",2,"18","8:10:-:-:-","---

---","-

-

-

-

-

-"
"8451","Congressional Committee Materials","S. Hrg. 111-484","111th","321",NA,"S. HRG. 111-484 - ADVERTISING TRENDS AND CONSUMER PROTECTION","Congressional Hearings","CHRG-111shrg55980","22-Jul-09","Senate","General","709035","Y 4.C 73/7:S.HRG.111-484",NA,"Urvashi Rangan Ph.D. : Director of Technical Policy Consumers Union of U.S. Inc;

C. Lee Peeler President and CEO : National Advertising Review Council and Executive Vice President Advertising Self- Regulation Council of Better Business Bureaus;

Jon Congdon President and Co-Founder : Product Partners LLC/ Beachbody;

David Vladeck Director : Bureau of Consumer Protection Federal Trade Commission;

Sally Greenberg Executive Director : National Consumers League;

Greg Renker Co-Chair : Guthy-Renker LLC;","Amy Klobuchar : United States Senate;

Claire McCaskill : United States Senate;

Roger F. Wicker : United States Senate;

Mark L. Pryor : United States Senate;","Yes","22-07-2009","-","-

-

-

Federal Trade Commission

-

-","-

-

-

224

-

-","-

-

-

3084.0

-

-","-

-

-

3084.0

-

-","-

-

-

-

-

-","No

No

No

No

No

No","Subcommittee on Consumer Protection, Product Safety, and Insurance",4,"26","14:12:-:-:-","---

---

---

---","Ph.D. : Doctor of Philosophy

-

-

-

-

-"
"23274","Congressional Committee Materials",NA,"109th","113",NA,"HOUSE HEARING, 109TH CONGRESS - SMART INSURANCE REFORM","Congressional Hearings","CHRG-109hhrg29456","16-Jun-05","House of Representatives","General",NA,"Y 4.F 49/20",NA,"Shapo Nathaniel S. : testifying as the former Director Illinois Department of Insurance;

Serio Gregory V. : testifying as the former Superintendent of Insurance New York State Insurance Department;

Pickens J. Michael : testifying as the former State Insurance Commissioner Arkansas Department of Insurance;

Covington J. Lee II : testifying as the former Director Ohio Department of Insurance;

Muhl Edward J. : testifying as the former Insurance Commissioner of Maryland and the former Superintendent of Insurance New York State Insurance Department;

Koken M. Diane : Pennyslvania Insurance Commissioner testifying as President National Association of Insurance Commissioners;","royce, ed;

pomeroy, earl;

Sue W. Kelly : United States House of Representatives;

Donald A. Manzullo : United States House of Representatives;

Steve Israel : United States House of Representatives;

clay, william lacy;

Carolyn McCarthy : United States House of Representatives;

Jeb Hensarling : United States House of Representatives;

Richard H. Baker : United States House of Representatives;

Patrick J. Tiberi : United States House of Representatives;

Jim Ryun : United States House of Representatives;

Robert W. Ney : United States House of Representatives;

Melvin L. Watt : United States House of Representatives;

wasserman schultz, debbie;

Geoff Davis : United States House of Representatives;

Spencer Bachus : United States House of Representatives;

Judy Biggert : United States House of Representatives;

Paul E. Kanjorski : United States House of Representatives;

David Scott : United States House of Representatives;

Brad Miller : United States House of Representatives;","Yes","16-06-2005","-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","Illinois

New York

Arkansas

Ohio

Maryland

-","No

No

No

No

No

No","Subcommittee on Capital Markets, Insurance and Government Sponsored Enterprises",20,"71","32:38:1:-:-","200:0:6

---

---

---

---

100:0:3

---

---

---

---

---

---

---

100:0:1

---

---

---

---

---

---","-

-

-

-

-

-"
"11520","Congressional Committee Materials","S. Hrg. 112-504","112th","305",NA,"S. HRG. 112-504 - INVESTIGATIVE HEARING ON THE MF GLOBAL BANKRUPTCY","Congressional Hearings","CHRG-112shrg75117","13-Dec-11","Senate","General","880271","Y 4.AG 8/3:S.HRG.112-504",NA,"Refer column R","Tom Harkin : United States Senate;

Kent Conrad : United States Senate;

Amy Klobuchar : United States Senate;

John Boozman : United States Senate;

John Hoeven : United States Senate;

John Thune : United States Senate;

Sherrod Brown : United States Senate;

Kirsten E. Gillibrand : United States Senate;

Pat Roberts : United States Senate;

Richard G. Lugar : United States Senate;

nelson, earl benjamin ben;

grassley, charles e;

stabenow, deborah annstabenow, debbie;

Saxby Chambliss : United States Senate;","Yes","13-12-2011","Blew, C.J., Farmer/Rancher

Chairman of the Board, Mid KansasCooperative Association

Director, Board of CHS, Inc.Hutchison, KS

Hainline, Jeffrey W., President, Advanced Trading, Inc., Bloomington, IL

Hupfer, Roger, Grain Elevator Operator, Freeland Bean & Grain, Inc., Freeland, MI

Abelow, Bradley, President and Chief Operating Officer, MF Global Holdings Ltd., New York, NY

Corzine, Hon. Jon S., Former Chairman and Chief Executive Officer, MF Global Holdings Ltd., New York, NY

Steenkamp, Henri, Chief Financial Officer, MF Global Holdings Ltd., New York, NY

Giddens, James W., Trustee, Securities Investor Protection Act liquidation of MF Global, Inc., New York, NY

Sommers, Hon. Jill, Commissioner, Commodity Futures Trading Commission, Washington, DC

---------- ","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-

-

-","-

Kansas

Kansas

Illinois

Michigan

New York

New York

New York

New York

Washington

-","No

No

No

No

No

No

No

No

No

No

No","-",14,"21","12:9:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---","-"
"14087","Congressional Committee Materials",NA,"112th","184",NA,"HOUSE HEARING, 112TH CONGRESS - HEARING: PROMOTING ENTREPRENEURSHIP AND JOB CREATION BY DECREASING DUPLICATION AT SBA","Congressional Hearings","CHRG-112hhrg68061","25-May-11","House of Representatives","General","848971","Y 4.SM 1:112-016",NA,"Mr. Arnold Baker Founder/CEO : Baker Ready Mix & Building Materials New Orleans LA;

Ms. Jody Keenan Director : Virginia SDBC Network Mason Enterprise Center Fairfax VA;

Mr. William B. Shear Director : Financial Markets and Community Investment U.S. Government Accountability Office Washington DC;

Ms. Denise Pickett Executive Vice President : American Express OPEN New York NY;","Nydia M. Velazquez : United States House of Representatives;

Cedric L. Richmond : United States House of Representatives;

Richard L. Hanna : United States House of Representatives;

Roscoe G. Bartlett : United States House of Representatives;

Sam Graves : United States House of Representatives;

Judy Chu : United States House of Representatives;","Yes","25-05-2011","-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","#NAME?","No

No

No

No","-",6,"29","13:16:-:-:-","---

---

---

---

---

---","-

-

-

-"
"5114","Congressional Committee Materials","S. Hrg. 111-758","111th","344",NA,"S. HRG. 111-758 - DOMESTIC PARTNER BENEFITS: FAIR POLICY AND GOOD BUSINESS FOR THE FEDERAL GOVERNMENT","Congressional Hearings","CHRG-111shrg53848","15-Oct-09","Senate","General","778589","Y 4.G 74/9:S.HRG.111-758",NA,"William H. Hendrix III Ph.D. : Global Leader Gays Lesbians and Allies at Dow (GLAD) The Dow Chemical Company;

Hon. John Berry Director : U.S. Office of Personnel Management;","baldwin, tammy;

Daniel K. Akaka : United States Senate;

Joseph I. Lieberman : United States Senate;

Susan M. Collins : United States Senate;","Yes","15-10-2009","-","#NAME?","-251","-3206","-3206","-

-","No

No","-",4,"18","10:7:1:-:-","---

---

---

---","Ph.D. : Doctor of Philosophy

-"
"15628","Congressional Committee Materials",NA,"112th","173",NA,"HOUSE HEARING, 112TH CONGRESS - SITTING ON OUR ASSETS: CUTTING SPENDING AND PRIVATE REDEVELOPMENT OF UNDERPERFORMING BUILDINGS","Congressional Hearings","CHRG-112hhrg65445","10-Feb-11","House of Representatives","General","852993","Y 4.T 68/2:112-40",NA,"Refer column R","Jeff Denham : United States House of Representatives;

norton, eleanor holmes;

John L. Mica : United States House of Representatives;

Donna F. Edwards : United States House of Representatives;

crawford, rick;","Yes","10/2/11","Peck, Robert A., Commissioner, Public Buildings Service, General Services Administration

Principi, Hon. Anthony J., Former Secretary, Department of Veterans Affairs

Wise, David J., Director, Physical Infrastructure Issues, Government Accountability Office

","General Services Administration

Department of Veterans Affairs

-","225

200

-","3090.0

2900.0

-","3090.0

2900.0

-","-

-

-","No

No

No","Subcommittee on Economic Development, Public Buildings, and Emergency Management",5,"61","26:35:-:-:-","---

100:0:11

---

---

200:0:1","-"
"23109","Congressional Committee Materials",NA,"108th","113",NA,"HOUSE HEARING, 108TH CONGRESS - MONETARY POLICY AND THE STATE OF THE ECONOMY","Congressional Hearings","CHRG-108hhrg89078","12-Feb-03","House of Representatives","General",NA,"Y 4.F 49/20",NA,"Greenspan Hon. Alan : Chairman Board of Governors of the Federal Reserve System;","Gregory W. Meeks : United States House of Representatives;

Carolyn B. Maloney : United States House of Representatives;

royce, ed;

Michael G. Oxley : United States House of Representatives;

Tim Murphy : United States House of Representatives;

Michael N. Castle : United States House of Representatives;

Ruben Hinojosa : United States House of Representatives;

Jay Inslee : United States House of Representatives;

Mark R. Kennedy : United States House of Representatives;

Sue W. Kelly : United States House of Representatives;

Bernard Sanders : United States House of Representatives;

Ken Lucas : United States House of Representatives;

Barney Frank : United States House of Representatives;

clay, william lacy;

Ron Paul : United States House of Representatives;

Christopher Shays : United States House of Representatives;

Jeb Hensarling : United States House of Representatives;

Maxine Waters : United States House of Representatives;

Richard H. Baker : United States House of Representatives;

Scott Garrett : United States House of Representatives;

Melvin L. Watt : United States House of Representatives;

Barbara Lee : United States House of Representatives;

Spencer Bachus : United States House of Representatives;

Dennis Moore : United States House of Representatives;

Paul E. Kanjorski : United States House of Representatives;

Judy Biggert : United States House of Representatives;","Yes","12/2/03","-","Federal Reserve ","276","7100","7100","-","No","-",26,"73","34:38:1:-:-","---

---

200:0:5

---

---

---

---

---

---

---

---

---

---

100:0:2

---

---

---

---

---

---

---

---

---

---

---

---","-"
"6584","Congressional Committee Materials","S. Hrg. 106-878","106th","338",NA,"S. HRG. 106-878 - EXCHANGE PROGRAMS AND THE NATIONAL INTEREST","Congressional Hearings","CHRG-106shrg69748","14-Sep-00","Senate","General",NA,"Y 4.F 76/2",NA,"Refer column R","Paul S. Sarbanes : United States Senate;

Rod Grams : United States Senate;","Yes","14-09-2000","Bader, Hon. William B., Assistant Secretary, Bureau for Educational and Cultural Affairs, Department of State, Washington, DC

Byrne, Carol Engebretson, Executive Director, Minnesota International Center, Minneapolis, MN

Denton, James S., Executive Director, Freedom House, Washington, ","Department of State

-

-","113

-

-","1400.0

-

-","1400.0

-

-","Washington

Minnesota

Washington","No

No

No","Subcommittee on International Operations",2,"19","8:11:-:-:-","---

---","-"
"11879","Congressional Committee Materials",NA,"110th","251",NA,"HOUSE HEARING, 110TH CONGRESS - ADVANCING PUBLIC ALERT AND WARNING SYSTEMS TO BUILD A MORE RESILIENT NATION","Congressional Hearings","CHRG-110hhrg43043","14-May-08","House of Representatives","General",NA,"Y 4.H 75",NA,"Major General Martha T. Rainville (Ret.) Assistant Administrator : National Continuity Programs Federal Emergency Management Agency Department of Homeland Security:;

Mr. Randall C. Duncan Vice Chair : Government Affairs Committee International Association of Emergency Managers:;

Mr. John R. Gibb Director : New York State Emergency Management Office State of New York:;

Ms. Lisa M. Fowlkes Deputy Chief : Public Safety and Homeland Security Bureau Federal Communications Commission:;","Charles W. Dent : United States House of Representatives;

Norman D. Dicks : United States House of Representatives;

norton, eleanor holmes;

Candice S. Miller : United States House of Representatives;

Bob Etheridge : United States House of Representatives;

Henry Cuellar : United States House of Representatives;

Nita M. Lowey : United States House of Representatives;","Yes","14-05-2008","-","Department of Homeland Security

-

-

Federal Communications Commission","127

-

-

217","1600.0

-

-

3060.0","1600.0

-

-

3060.0","-

-

New York

-","No

No

No

No","Subcommittee on Emergency Communications, Preparedness, and Response",7,"37","19:18:-:-:-","---

---

100:0:3

---

---

---

---","-

-

-

-"
