Keyword(s) for oversight,Agency witness,Witness name,Witness agency,Oversight,Agency witness serving as expert,,Category,Senate.Hearing.Number,Congress,title,Collection,filename,Held.Date,Congress.Chamber,Hearing.Sub.Type,ILS.System.ID,SuDoc.Class.Number
,,,,,,10371,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - OVERSIGHT FOR THE EXPORT-IMPORT BANK OF THE UNITED STATES",Congressional Hearings,CHRG-109hhrg26236,10-Nov-05,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,7386,Congressional Committee Materials,S. Hrg. 111-1138,111th,S. HRG. 111-1138 - SAFE PATIENT HANDLING AND LIFTING STANDARDS FOR A SAFER AMERICAN WORKFORCE,Congressional Hearings,CHRG-111shrg76035,11-May-10,Senate,General,881152,Y 4.L 11/4:S.HRG.111-1138
,,,,,,12385,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - BUILDING A WALL BETWEEN FRIENDS: PASSPORTS TO AND FROM CANADA?",Congressional Hearings,CHRG-109hhrg25442,17-Nov-05,House of Representatives,General,NA,Y 4.SM 1
,,,,,,24601,Congressional Committee Materials,S. Hrg. 112-894,112th,S. HRG. 112-894 - PAIN IN AMERICA: EXPLORING CHALLENGES TO RELIEF,Congressional Hearings,CHRG-112shrg88965,14-Feb-12,Senate,General,933874,Y 4.L 11/4:S.HRG.112-894
,,,,,,15621,Congressional Committee Materials,S. Hrg. 108-355,108th,S. HRG. 108-355 - COLUMBIA BASIN 2000 BIOLOGICAL PLAN FOR ANADROMOUS FISH RECOVERY,Congressional Hearings,CHRG-108shrg92377,24-Jun-03,Senate,General,NA,Y 4.P 96/10
,,,,,,21945,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - CHALLENGES FACING DOMESTIC OIL AND GAS DEVELOPMENT: REVIEW OF BUREAU OF LAND MANAGEMENT/U.S. FOREST SERVICE BAN ON HORIZONTAL DRILLING ON FEDERAL LANDS",Congressional Hearings,CHRG-112hhrg72151,8-Jul-11,House of Representatives,General,868858,NA
,,,,,,23065,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - FY 2013 BUDGET REQUESTS FROM THE NATIONAL PARK SERVICE AND THE BUREAU OF LAND MANAGEMENT",Congressional Hearings,CHRG-112hhrg73148,28-Feb-12,House of Representatives,Oversight,893470,Y 4.R 31/3:112-97
,,,,,,14742,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - SPAM AND ITS EFFECTS ON SMALL BUSINESS",Congressional Hearings,CHRG-108hhrg93042,30-Oct-03,House of Representatives,General,NA,Y 4.SM 1
,,,,,,23958,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - CRIMINAL CODE MODERNIZATION AND SIMPLIFICATION ACT OF 2011",Congressional Hearings,CHRG-112hhrg71622,13-Dec-11,House of Representatives,General,870204,Y 4.J 89/1:112-81
,,,,,,15341,Congressional Committee Materials,S. Hrg. 108-885,108th,S. HRG. 108-885 - CONSIDERATION OF REGULATORY REFORM PROPOSALS,Congressional Hearings,CHRG-108shrg25856,22-Jun-04,Senate,General,NA,Y 4.B 22/3
,,,,,,11867,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - SICK CRIME: COUNTERFEIT DRUGS IN THE UNITED STATES",Congressional Hearings,CHRG-109hhrg30672,1-Nov-05,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,14805,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - DEPARTMENT OF VETERANS AFFAIRS' FIDUCIARY PROGRAM",Congressional Hearings,CHRG-108hhrg94196,16-Jul-03,House of Representatives,General,NA,Y 4.V 64/3
,,,,,,6135,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - SUBCOMMITTEE ON RURAL DEVELOPMENT, ENTREPRENEURSHIP AND TRADE MARKUP ON ENTREPRENEURIAL DEVELOPMENT PROGRAMS LEGISLATION",Congressional Hearings,CHRG-111hhrg48126,30-Apr-09,House of Representatives,Markup,NA,Y 4.SM 1
,,,,,,10596,Congressional Committee Materials,S. Hrg. 110-671,110th,S. HRG. 110-671 - VEHICLES POWERED BY THE ELECTRIC GRID,Congressional Hearings,CHRG-110shrg46014,16-Sep-08,Senate,General,NA,Y 4.EN 2
,,,,,,9078,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - FORECLOSURE, PREDATORY MORTGAGE AND PAYDAY LENDING IN AMERICA'S CITIES",Congressional Hearings,CHRG-110hhrg37416,21-Mar-07,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,15726,Congressional Committee Materials,S. Hrg. 108-512,108th,S. HRG. 108-512 - AGOA III: THE UNITED STATES-AFRICA PARTNERSHIP ACT OF 2003,Congressional Hearings,CHRG-108shrg94642,25-Mar-04,Senate,General,NA,Y 4.F 76/2
,,,,,,16025,Congressional Committee Materials,S. Hrg. 108-302,108th,"S. HRG. 108-302 - NOMINATION OF MICHAEL J. GARCIA TO BE ASSISTANT SECRETARY FOR IMMIGRATION AND CUSTOMS ENFORCEMENT, DEPARTMENT OF HOMELAND SECURITY; JACK LANDMAN GOLDSMITH III TO BE ASSISTANT ATTORNEY GENERAL, OFFICE OF LEGAL COUNSEL, DEPARTMENT OF JUSTICE",Congressional Hearings,CHRG-108shrg91347,8-Jul-03,Senate,Nomination,NA,Y 4.J 89/2
,,,,,,22545,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - H.R. 1148, THE STOP TRADING ON CONGRESSIONAL KNOWLEDGE ACT",Congressional Hearings,CHRG-112hhrg72631,6-Dec-11,House of Representatives,General,876238,Y 4.F 49/20:112-90
,,,,,,25161,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - [H.A.S.C. NO. 111-3 ] PRIORITIES OF THE DEPARTMENT OF DEFENSE IN THE NEW ADMINISTRATION",Congressional Hearings,CHRG-111hhrg51663,27-Jan-09,House of Representatives,General,707215,NA
,,,,,,9011,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - H.R. 3094, NATIONAL PARK CENTENNIAL FUND ACT; AND H.R. 2959, NATIONAL PARK CENTENNIAL CHALLENGE FUND ACT.",Congressional Hearings,CHRG-110hhrg37136,2-Aug-07,House of Representatives,General,NA,Y 4.R 31/3
,,,,,,6899,Congressional Committee Materials,S. Hrg. 111-922,111th,"S. HRG. 111-922 - EXAMINING THE EFFICIENCY, STABILITY, AND INTEGRITY OF THE U.S. CAPITAL MARKETS",Congressional Hearings,CHRG-111shrg65272,8-Dec-10,Senate,General,828125,"Y 4.B 22/3Y 4.G 74/9"
,,,,,,13071,Congressional Committee Materials,S. Hrg. 109-1118,109th,S. HRG. 109-1118 - OFFSHORE AQUACULTURE: CHALLENGES OF FISH FARMING IN FEDERAL WATERS,Congressional Hearings,CHRG-109shrg64706,8-Jun-06,Senate,General,804128,Y 4.C 73/7:S.HRG.109-1118
,,,,,,5969,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THIS IS NOT A TEST: WILL THE NATION'S EMERGENCY ALERT SYSTEM DELIVER THE PRESIDENT'S MESSAGE TO THE PUBLIC?",Congressional Hearings,CHRG-111hhrg52609,30-Sep-09,House of Representatives,General,NA,Y 4.T 68/2
,,,,,,5560,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - COMBATING BORDER VIOLENCE: THE ROLE OF INTERAGENCY COORDINATION IN INVESTIGATIONS",Congressional Hearings,CHRG-111hhrg55887,16-Jul-09,House of Representatives,General,689616,Y 4.H 75: 111-29
,,,,,,13783,Congressional Committee Materials,S. Hrg. 109-1019,109th,S. HRG. 109-1019 - THE COST OF CRIME: UNDERSTANDING THE FINANCIAL AND HUMAN IMPACT OF CRIMINAL ACTIVITY,Congressional Hearings,CHRG-109shrg42938,19-Sep-06,Senate,General,NA,Y 4.J 89/2
,,,,,,13216,Congressional Committee Materials,S. Hrg. 109-507,109th,S. HRG. 109-507 - KEMPTHORNE NOMINATION,Congressional Hearings,CHRG-109shrg28971,4-May-06,Senate,Nomination,NA,Y 4.EN 2
,,,,,,12662,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - CRIMINAL RESTITUTION IMPROVEMENT ACT OF 2006",Congressional Hearings,CHRG-109hhrg28198,13-Jun-06,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,12228,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - H.R. 512, TO REQUIRE THE PROMPT REVIEW BY THE SECRETARY OF THE INTERIOR OF THE LONGSTANDING PETITIONS FOR FEDERAL RECOGNITION OF CERTAIN INDIAN TRIBES.",Congressional Hearings,CHRG-109hhrg98700,10-Feb-05,House of Representatives,General,NA,Y 4.R 31/3
,,,,,,6403,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE ECONOMIC CASE FOR HEALTH REFORM",Congressional Hearings,CHRG-111hhrg50542,19-Jun-09,House of Representatives,General,NA,Y 4.B 85/3
,,,,,,6632,Congressional Committee Materials,S. Hrg. 111,111th,"S. HRG. 111 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2011",Congressional Hearings,CHRG-111shrg99104398,14-Apr-10,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,11391,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - THE FIRST LINE OF DEFENSE: THE ROLE OF FINANCIAL INSTITUTIONS IN DETECTING FINANCIAL CRIMES",Congressional Hearings,CHRG-109hhrg29454,26-May-05,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,10555,Congressional Committee Materials,S. Hrg. 110-430,110th,S. HRG. 110-430 - OLD-GROWTH FOREST IN THE PACIFIC NORTHWEST,Congressional Hearings,CHRG-110shrg43391,13-Mar-08,Senate,General,NA,Y 4.EN 2
,,,,,,15434,Congressional Committee Materials,S. Hrg. 108-981,108th,S. HRG. 108-981 - FUTURE OF THE MARINE MAMMAL PROTECTION ACT (MMPA),Congressional Hearings,CHRG-108shrg88893,16-Jul-03,Senate,General,933722,Y 4.C 73/7:S.HRG.108-981
,,,,,,24998,Congressional Committee Materials,S. Hrg. 112-665,112th,S. HRG. 112-665 - ELIMINATING WASTE AND FRAUD IN MEDICARE: AN EXAMINATION OF PRIOR AUTHORIZATION REQUIREMENTS FOR POWER MOBILITY DEVICES,Congressional Hearings,CHRG-112shrg76530,19-Sep-12,Senate,Authorization,887892,Y 4.AG 4:S.HRG.112-665
,,,,,,9297,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - IMPLEMENTATION OF THE OFFICE OF GOVERNMENT INFORMATION SERVICES",Congressional Hearings,CHRG-110hhrg48497,17-Sep-08,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,9574,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - ``HELPING THOSE LEFT BEHIND: ARE WE DOING ENOUGH FOR THE PARENTS, SPOUSES, AND CHILDREN OF VETERANS?''",Congressional Hearings,CHRG-110hhrg35635,24-Apr-07,House of Representatives,General,NA,Y 4.V 64/3
,,,,,,10430,Congressional Committee Materials,S. Hrg. 110-1193,110th,S. HRG. 110-1193 - IMBALANCE IN U.S.-KOREA AUTOMOBILE TRADE,Congressional Hearings,CHRG-110shrg78188,24-Sep-08,Senate,General,889813,Y 4.C 73/7:S.HRG.110-1193
,,,,,,16048,Congressional Committee Materials,S. Hrg. 108-478,108th,S. HRG. 108-478 - MONOPSONY ISSUES IN AGRICULTURE: BUYING POWER OF PROCESSORS IN OUR NATION'S AGRICULTURAL MARKETS,Congressional Hearings,CHRG-108shrg93985,30-Oct-03,Senate,General,NA,Y 4.J 89/2
,,,,,,15184,Congressional Committee Materials,S. Hrg. 108-614,108th,S. HRG. 108-614 - REVIEW OF THE 9/11 COMMISSION'S INTELLIGENCE RECOMMENDATIONS,Congressional Hearings,CHRG-108shrg95943,"September 21, 2004September 22, 2004",Senate,General,NA,Y 4.AP 6/2
,,,,,,15218,Congressional Committee Materials,S. Hrg. 108-808,108th,S. HRG. 108-808 - ALASKA NATIVE VILLAGE EROSION,Congressional Hearings,CHRG-108shrg95486,"January 28, 2004February 1, 2004April 14, 2004June 29, 2004June 30, 2004July 13, 2004August 3, 2004August 4, 2004August 24, 2004August 30, 2004September 21, 2004September 25, 2004September 27, 2004November 7, 2004",Senate,General,NA,Y 4.AP 6/2
,,,,,,11952,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - WORKING THROUGH AN OUTBREAK: PANDEMIC FLU PLANNING AND CONTINUITY OF OPERATIONS",Congressional Hearings,CHRG-109hhrg28533,11-May-06,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,12470,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - FOURTH IN A SERIES OF SUBCOMMITTEE HEARINGS ON PROTECTING AND STRENGTHENING SOCIAL SECURITY",Congressional Hearings,CHRG-109hhrg26415,9-Jun-05,House of Representatives,General,NA,Y 4.W 36
,,,,,,5421,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - NORTH KOREA'S NUCLEAR AND MISSILE TESTS AND THE SIX-PARTY TALKS: WHERE DO WE GO FROM HERE?",Congressional Hearings,CHRG-111hhrg50507,17-Jun-09,House of Representatives,General,NA,Y 4.F 76/1
,,,,,,8643,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE POLITICAL SITUATION IN LEBANON",Congressional Hearings,CHRG-110hhrg34714,18-Apr-07,House of Representatives,General,NA,NA
,,,,,,23432,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - TAPPING AMERICA'S ENERGY POTENTIAL THROUGH RESEARCH AND DEVELOPMENT",Congressional Hearings,CHRG-112hhrg77038,30-Nov-12,House of Representatives,General,896616,Y 4.SCI 2:112-108
,,,,,,6936,Congressional Committee Materials,S. Hrg. 111-443,111th,S. HRG. 111-443 - NASA FISCAL YEAR 2010 BUDGET REQUEST,Congressional Hearings,CHRG-111shrg54283,21-May-09,Senate,General,718109,Y 4.C 73/7:S.HRG.111-443
,,,,,,10202,Congressional Committee Materials,S. Hrg. 110-394,110th,S. HRG. 110-394 - DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2009,Congressional Hearings,CHRG-110shrg42629,"February 6, 2008February 26, 2008February 28, 2008March 4, 2008March 5, 2008March 6, 2008March 11, 2008",Senate,Authorization,NA,Y 4.2
,,,,,,23819,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - TAX RAMIFICATIONS OF THE SUPREME COURT'S RULING ON THE DEMOCRATS' HEALTH CARE LAW",Congressional Hearings,CHRG-112hhrg80439,10-Jul-12,House of Representatives,General,904809,Y 4.W 36:112-27
,,,,,,7325,Congressional Committee Materials,S. Hrg. 111-498,111th,S. HRG. 111-498 - IMPLEMENTING BEST PATIENT CARE PRACTICES,Congressional Hearings,CHRG-111shrg47375,5-Feb-09,Senate,General,714867,Y 4.L 11/4:S.HRG.111-498
,,,,,,24875,Congressional Committee Materials,S. Hrg. 112-879,112th,"S. HRG. 112-879 - REASSESSING SOLITARY CONFINEMENT: THE HUMAN RIGHTS, FISCAL, AND PUBLIC SAFETY CONSEQUENCES",Congressional Hearings,CHRG-112shrg87630,19-Jun-12,Senate,General,930456,Y 4.J 89/2:S.HRG.112-879
,,,,,,10473,Congressional Committee Materials,S. Hrg. 110-50,110th,S. HRG. 110-50 - CONDITIONS IN THE COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS,Congressional Hearings,CHRG-110shrg35819,8-Feb-07,Senate,General,NA,Y 4.EN 2
,,,,,,12453,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - PRESIDENT'S FISCAL YEAR 2006 BUDGET FOR THE U.S. DEPARTMENT OF LABOR",Congressional Hearings,CHRG-109hhrg23914,16-Mar-05,House of Representatives,General,NA,Y 4.W 36
,,,,,,14143,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - THE RATINGS GAME: IMPROVING TRANSPARENCY AND COMPETITION AMONG THE CREDIT RATING AGENCIES",Congressional Hearings,CHRG-108hhrg97016,14-Sep-04,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,14954,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - BANKRUPTCY JUDGESHIP ACT OF 2003",Congressional Hearings,CHRG-108hhrg87239,22-May-03,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,22376,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - CYBERSECURITY: AN OVERVIEW OF RISKS TO CRITICAL INFRASTRUCTURE",Congressional Hearings,CHRG-112hhrg73391,26-Jul-11,House of Representatives,General,870590,Y 4.C 73/8:112-80
,,,,,,13824,Congressional Committee Materials,S. Hrg. 109-365,109th,S. HRG. 109-365 - FORGOTTEN VETERANS: IMPROVING HEALTH CARE FOR RURAL VETERANS,Congressional Hearings,CHRG-109shrg25787,16-Aug-05,Senate,General,NA,Y 4.V 64/4
,,,,,,7663,Congressional Committee Materials,S. Hrg. 109,109th,S. HRG. 109 - DEPARTMENT OF THE INTERIOR AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2007,Congressional Hearings,CHRG-109shrg59104233,6-Apr-06,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,14876,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - SELECT TAX ISSUES",Congressional Hearings,CHRG-108hhrg23798,23-Sep-04,House of Representatives,General,NA,Y 4.W 36
,,,,,,11054,Congressional Committee Materials,S. Hrg. 110-678,110th,"S. HRG. 110-678 - S. 3128, S. 3355, AND S. 3381",Congressional Hearings,CHRG-110shrg45807,11-Sep-08,Senate,General,NA,Y 4.IN 2/11
,,,,,,14151,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - RECOVERY NOW INITIATIVE",Congressional Hearings,CHRG-108hhrg86828,27-Feb-03,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,24067,Congressional Committee Materials,S. Hrg. 112-505,112th,"S. HRG. 112-505 - NOMINATION HEARING OF MICHAEL T. SCUSE, CHESTER J. CULVER AND BRUCE J. SHERRICK",Congressional Hearings,CHRG-112shrg75118,15-Dec-11,Senate,General,888878,Y 4.AG 8/3:S.HRG.112-505
,,,,,,8276,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE GROWING INCOME GAP IN THE AMERICAN MIDDLE CLASS",Congressional Hearings,CHRG-110hhrg43629,31-Jul-08,House of Representatives,General,NA,Y 4.ED 8/1
,,,,,,9986,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - ELECTRONIC EMPLOYMENT VERIFICATION SYSTEMS: NEEDED SAFEGUARDS TO PROTECT PRIVACY AND PREVENT MISUSE",Congressional Hearings,CHRG-110hhrg42826,10-Jun-08,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,9566,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - STATE APPROVING AGENCIES",Congressional Hearings,CHRG-110hhrg35634,19-Apr-07,House of Representatives,General,NA,Y 4.V 64/3
,,,,,,15084,Congressional Committee Materials,S. Hrg. 108-086,108th,"S. HRG. 108-086 - NOMINATION OF VERNON B. PARKER, OF ARIZONA, TO BE ASSISTANT SECRETARY OF AGRICULTURE FOR CIVIL RIGHTS",Congressional Hearings,CHRG-108shrg88829,20-Mar-03,Senate,Nomination,NA,Y 4.AG 8/3
,,,,,,8138,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - [H.A.S.C. NO. 110-75] MINE RESISTANT AMBUSH PROTECTED (MRAP) VEHICLE PROGRAM",Congressional Hearings,CHRG-110hhrg37890,19-Jul-07,House of Representatives,General,NA,Y 4.AR 5/2
,,,,,,7475,Congressional Committee Materials,S. Hrg. 111-634,111th,S. HRG. 111-634 - A PRESCRIPTION FOR WASTE: CONTROLLED SUBSTANCE ABUSE IN MEDICAID,Congressional Hearings,CHRG-111shrg53845,30-Sep-09,Senate,General,755133,Y 4.G 74/9:S.HRG.111-634
,,,,,,5985,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - FIXING EPA'S BROKEN INTEGRATED RISK INFORMATION SYSTEM",Congressional Hearings,CHRG-111hhrg49964,11-Jun-09,House of Representatives,General,NA,Y 4.SCI 2
,,,,,,15459,Congressional Committee Materials,S. Hrg. 108-1006,108th,S. HRG. 108-1006 - NASA'S FUTURE SPACE MISSION,Congressional Hearings,CHRG-108shrg20706,28-Jan-04,Senate,General,NA,Y 4.C 73/7
,,,,,,9056,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - IMPACTS OF U.S. CONSUMER DEMAND ON THE ILLEGAL AND UNSUSTAINABLE TRADE OF WILDLIFE PRODUCTS",Congressional Hearings,CHRG-110hhrg44484,16-Sep-08,House of Representatives,Oversight,NA,Y 4.R 31/3
,,,,,,16065,Congressional Committee Materials,S. Hrg. 108-571,108th,S. HRG. 108-571 - THE SATELLITE HOME VIEWER EXTENSION ACT,Congressional Hearings,CHRG-108shrg95309,12-May-04,Senate,General,NA,Y 4.J 89/2
,,,,,,10215,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - EXAMINING THE USE OF NON-CONSENSUS STANDARDS IN WORKPLACE HEALTH AND SAFETY",Congressional Hearings,CHRG-109hhrg27980,27-Apr-06,House of Representatives,General,NA,Y 4.ED 8/1
,,,,,,12752,Congressional Committee Materials,S. Hrg. 109-820,109th,S. HRG. 109-820 - AGRICULTURAL CONSERVATION PROGRAMS,Congressional Hearings,CHRG-109shrg30425,7-Jun-06,Senate,General,NA,Y 4.AG 8/3
,,,,,,14702,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - HEARING ON IRS COMPLIANCE WITH THE REGULATORY FLEXIBILITY ACT",Congressional Hearings,CHRG-108hhrg92592,1-May-03,House of Representatives,General,NA,Y 4.SM 1
,,,,,,11207,Congressional Committee Materials,S. Hrg. 110-51,110th,S. HRG. 110-51 - THE PRESIDENT'S FISCAL YEAR 2008 BUDGET REQUEST FOR THE SMALL BUSINESS ADMINISTRATION,Congressional Hearings,CHRG-110shrg35303,28-Feb-07,Senate,General,NA,Y 4.SM 1/2
,,,,,,24753,Congressional Committee Materials,S. Hrg. 112-37,112th,S. HRG. 112-37 - STOLEN IDENTITIES: THE IMPACT OF RACIST STEREOTYPES ON INDIGENOUS PEOPLE,Congressional Hearings,CHRG-112shrg66994,5-May-11,Senate,General,835141,Y 4.IN 2/11:S.HRG.112-37
,,,,,,5847,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE 2010 CENSUS COMMUNICATION CONTRACT: THE MEDIA PLAN IN HARD TO COUNT AREAS",Congressional Hearings,CHRG-111hhrg61800,24-Feb-10,House of Representatives,General,796446,Y 4.G 74/7:111-83
,,,,,,12079,Congressional Committee Materials,S. Hrg. 109,109th,"S. HRG. 109 - DEPARTMENTS OF TRANSPORTATION, TREASURY, THE JUDICIARY, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2007",Congressional Hearings,CHRG-109shrg59104209,31-Dec-06,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,7624,Congressional Committee Materials,S. Hrg. 111-917,111th,S. HRG. 111-917 - EXAMINING TRIBAL TRANSPORTATION IN INDIAN COUNTRY,Congressional Hearings,CHRG-111shrg65034,15-Oct-10,Senate,Field,815476,Y 4.IN 2/11:S.HRG.111-917
,,,,,,6126,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - SUBCOMMITTEE ON CONTRACTING AND TECHNOLOGY HEARING ON ENSURING STIMULUS CONTRACTS FOR SMALL AND VETERAN OWNED SMALL BUSINESSES",Congressional Hearings,CHRG-111hhrg47798,12-Mar-09,House of Representatives,General,NA,Y 4.SM 1
,,,,,,8077,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - [H.A.S.C. NO. 110-9] EXAMINATION OF THE FORCE REQUIREMENTS DETERMINATION PROCESS",Congressional Hearings,CHRG-110hhrg38368,30-Jan-07,House of Representatives,General,NA,Y 4.AR 5/2
,,,,,,25356,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - NEW INNOVATIONS AND BEST PRACTICES UNDER THE WORKFORCE INVESTMENT ACT",Congressional Hearings,CHRG-111hhrg47096,"February 12, 2009February 26, 2009March 23, 2009May 5, 2009May 29, 2009",House of Representatives,General,NA,Y 4.ED 8/1
,,,,,,15361,Congressional Committee Materials,S. Hrg. 108-838,108th,S. HRG. 108-838 - SPACE SHUTTLE COLUMBIA INVESTIGATION,Congressional Hearings,CHRG-108shrg97865,14-May-03,Senate,General,NA,Y 4.C 73/7
,,,,,,7816,Congressional Committee Materials,S. Hrg. 111-474,111th,S. HRG. 111-474 - EASING THE BURDENS THROUGH EMPLOYMENT,Congressional Hearings,CHRG-111shrg54281,18-Nov-09,Senate,General,726319,Y 4.V 64/4:S.HRG.111-474
,,,,,,23368,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - CONFLICTS AND UNINTENDED CONSEQUENCES OF MOTOR FUEL STANDARDS",Congressional Hearings,CHRG-112hhrg70973,2-Nov-11,House of Representatives,General,884578,Y 4.SCI 2:112-49
,,,,,,6954,Congressional Committee Materials,S. Hrg. 111-487,111th,"S. HRG. 111-487 - NOMINATIONS TO THE DEPARTMENT OF TRANSPORTATION, THE SURFACE TRANSPORTATION BOARD, THE NATIONAL TRANSPORTATION SAFETY BOARD, AND THE CORPORATION FOR PUBLIC BROADCASTING",Congressional Hearings,CHRG-111shrg53263,29-Jul-09,Senate,General,706634,Y 4.C 73/7:S.HRG.111-487
,,,,,,23227,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - A MEDICAID FRAUD VICTIM SPEAKS OUT: WHAT'S NOT WORKING AND WHY",Congressional Hearings,CHRG-112hhrg73451,7-Dec-11,House of Representatives,General,869778,Y 4.G 74/7:112-113
,,,,,,7638,Congressional Committee Materials,S. Hrg. 111-213,111th,S. HRG. 111-213 - HEALTH INFORMATION TECHNOLOGY: PROTECTING AMERICANS' PRIVACY IN THE DIGITAL AGE,Congressional Hearings,CHRG-111shrg54240,27-Jan-09,Senate,General,NA,Y 4.J 89/2
,,,,,,9213,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE ELECTRONIC RECORDS PRESERVATION AT THE WHITE HOUSE",Congressional Hearings,CHRG-110hhrg44697,26-Feb-08,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,22801,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - U.S. POLICY TOWARD NIGERIA: WEST AFRICA'S TROUBLED TITAN",Congressional Hearings,CHRG-112hhrg74961,10-Jul-12,House of Representatives,General,886195,Y 4.F 76/1:112-184
,,,,,,8325,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE DIGITAL FUTURE OF THE UNITED STATES",Congressional Hearings,CHRG-110hhrg39604,"May 10, 2007October 2, 2007",House of Representatives,General,NA,Y 4.R 31/3
